capítulo,texto,#palavras,#unicas,#pontos_interrogacao,#pontos_exclamacao,#nomes,#adjectivos,#adverbios,#verbos,diversidade_lexical,densidade_lexical,sentimento,sent_score,summarizador
CAPÍTULO I,As artes com que o bacharel flautista fez para ganhar a estima de D Maria I e Pedro III não as sei eu.,23,23,0,0,3,1,1,3,8,34.78260869565217,NEGATIVE,0.5828880071640015,A arte de flautistas é uma das artes que o príncipe príncipe de D Maria I e Pedro III
CAPÍTULO I,"Diz a tradição que o homem fazia rir a rainha com as suas graças, e porventura com os trejeitos que revelavam o melhor da sua personalidade.",26,22,0,0,7,0,1,4,12,46.15384615384615,NEGATIVE,0.42430010437965393,"Lembre-se de que o homem que ria da rainha com as suas graças, e porventura com os tre"
CAPÍTULO I,"O certo é que Domingos Botelho passou a frequentar o paço e a receber do bolsinho da soberana uma farta pensão, com a qual o aspirante a juiz de fora se esqueceu de si, do futuro, e do ministro da justiça que, muito rogado, lhe confiou o encargo de juiz de fora de Cascais.",54,38,0,0,12,1,3,7,23,42.592592592592595,NEGATIVE,0.6767638325691223,"Ora, o que o aspirante a juiz de fora fez é que ele passou a frequentar o paço e a receber do bolsinho da soberana uma farta pensão."
CAPÍTULO I,"Já está dito que ele se atreveu aos amores do paço, não fazendo poesias como Luís de Camões ou Bernardim Ribeiro; mas namorando na sua prosa provinciana, e captando a benevolência da rainha para amolecer as durezas da dama de companhia desta, a sua pretendente.",45,41,0,0,10,2,2,5,19,42.22222222222222,NEGATIVE,0.5159717798233032,"Não se atreveu a fazer poesias como Luís de Camões ou Bernardim Ribeiro, mas namorando na sua prosa provinciana, e captando a benevolência da rainha."
CAPÍTULO I,"Devia de ser, afinal, feliz o doutor bexiga — como era na corte conhecido — para se não desconcertar a discórdia que existe entre o talento e a felicidade.",27,25,0,0,5,2,3,5,15,55.55555555555556,POSITIVE,0.37943363189697266,Seja feliz o doutor bexiga.
CAPÍTULO I,Domingos Botelho casou com D Rita Preciosa.,7,7,0,0,0,0,0,1,1,14.285714285714286,NEUTRAL,0.5165631175041199,O casamento de Domingos Botelho e
CAPÍTULO I,"Rita era uma formosura, que ainda aos cinquenta anos se podia prezar de o ser.",15,15,0,0,3,0,1,2,6,40.0,NEGATIVE,0.5504831075668335,"A Rita era uma formosura, que ainda aos cinquenta anos se"
CAPÍTULO I,"E não tinha outro dote, pois não é dote uma série de antepassados, uns bispos, outros generais, e entre estes aquele que morrera queimado dentro de um caldeirão à mão dos mouros; glória, na verdade, um pouco ardente; mas de tal modo lembrada que os descendentes do general frito passaram a chamar-se “Caldeirões”.",53,47,0,0,15,1,4,6,26,49.056603773584904,NEGATIVE,0.6082780361175537,"E que era um general frito, que era um dos seus antepassados, e que era um dos seus antepassados, e que era um dos seus antepassados, e que era um dos seus antepassados, e que era um dos seus antepassados,"
CAPÍTULO I,A dama do paço foi feliz com o marido.,9,9,0,0,3,1,0,0,4,44.44444444444444,POSITIVE,0.3911537826061249,A dama do paço foi feliz
CAPÍTULO I,"Molestavam-na, no entanto, saudades da corte, das pompas das câmaras reais, e dos luxos e dos hábitos que imolou dos caprichos da rainha.",23,18,0,0,9,1,0,1,11,47.82608695652174,NEGATIVE,0.5638430118560791,"A rainha, no entanto, saudades da corte, das pompas e dos luxos que imo"
CAPÍTULO I,"Este desgostoso viver, porém, não impediu que se reproduzissem dois filhos e três meninas.",14,14,0,0,2,1,1,3,7,50.0,NEGATIVE,0.4347474277019501,Não se reproduziu.
CAPÍTULO I,"O mais velho era Manuel, o segundo Simão; das meninas uma era Maria, a segunda Ana, e a última tinha o nome da sua mãe, e alguns traços da beleza dela.",31,26,0,0,6,4,1,1,12,38.70967741935484,NEGATIVE,0.5114570260047913,"O mais velho era Manuel, o mais velho, e as meninas, Maria, a segunda Ana e a última Ana."
CAPÍTULO I,"O juiz de fora de Cascais, solicitando lugar de mais graduado banco, morava em Lisboa, na freguesia da Ajuda, em 1784.",21,18,0,0,5,1,2,2,10,47.61904761904762,NEGATIVE,0.6638361215591431,"O juiz de fora de Cascais, em 1784, era um banqueiro de bancos de Cascais, que era"
CAPÍTULO I,"Neste ano nasceu Simão, o penúltimo dos seus filhos.",9,9,0,0,2,1,0,1,4,44.44444444444444,POSITIVE,0.41563284397125244,"Este ano, o primeiro filho do seu"
CAPÍTULO I,"Conseguiu então ele, sempre gracejado pela sorte, transferência para Vila Real, a sua ambição suprema.",15,15,0,0,3,1,2,2,8,53.333333333333336,POSITIVE,0.5593258738517761,"O Príncipe de Gales, o Príncipe de Gales, o Príncipe de Gales"
CAPÍTULO I,À distância de uma légua de Vila Real estava toda a nobreza da vila à espera do seu conterrâneo.,19,18,0,0,6,0,0,0,6,31.57894736842105,NEGATIVE,0.5046046376228333,"À distância de uma légua de Vila Real, toda a nobreza da vila estava à"
CAPÍTULO I,Cada família tinha a sua liteira com o brasão da respetiva casa.,12,12,0,0,4,1,0,1,6,50.0,NEUTRAL,0.46676960587501526,A liteira da casa era a liteira da casa
CAPÍTULO I,"A dos Correias de Mesquita era a mais antiquada no feitio, e as vestes dos criados as mais usadas e desgastadas que figuravam na comitiva.",25,21,0,0,4,1,2,4,11,44.0,NEGATIVE,0.6664947271347046,A roupa de banho era a mais apropriada para o feitio.
CAPÍTULO I,"D Rita, avistando a fila das liteiras, ajustou ao olho direito a sua grande luneta de ouro, e disse: — Ó Meneses, o que é aquilo? — São os nossos amigos e parentes que nos vêm esperar. — Em que século estamos nós nesta montanha? — disse a dama do paço. — Em que século?",50,41,3,0,12,2,0,6,20,40.0,NEGATIVE,0.5410252809524536,"O Meneses, avistando a fila das liteiras, ajustou ao olho direito a sua luneta de ouro."
CAPÍTULO I,O século tanto é dezoito aqui como em Lisboa. — Ah! sim?,11,11,1,1,1,0,3,1,5,45.45454545454545,NEUTRAL,0.4188428819179535,O século tanto é dezoito aqui como em Lisboa.
CAPÍTULO I,Julgo que o tempo aqui parou no século doze...,9,9,0,0,2,0,1,2,5,55.55555555555556,NEUTRAL,0.3785603642463684,Julgue que o tempo aqui parou
CAPÍTULO I,"Por alguma razão, o marido achou que devia rir-se do gracejo, apesar deste não lisonjear grandemente.",16,16,0,0,3,0,3,4,10,62.5,NEGATIVE,0.442786306142807,Não se apresse.
CAPÍTULO I,"Fernão Botelho, pai do juiz de fora, pôs-se à frente da procissão para dar a mão à nora, que saia da liteira, para a conduzir até casa.",27,23,0,0,8,0,1,4,13,48.148148148148145,NEGATIVE,0.5642052292823792,Esteja à frente da procissão.
CAPÍTULO I,"D Rita, antes de ver a cara do seu sogro, contemplou-lhe a olho armado as fivelas de aço, e a bolsa do rabicho.",23,19,0,0,6,0,1,3,10,43.47826086956522,NEGATIVE,0.6550241112709045,"O seu sogro, antes de ver a cara do seu sogro, contemplou-o com fivelas"
CAPÍTULO I,Disse ela depois que os fidalgos de Vila Real andavam mais imundos que os carvoeiros de Lisboa.,17,14,0,0,2,1,2,2,7,41.1764705882353,NEGATIVE,0.5978410243988037,Disse a Vila Real depois que os fidalgos de Vila Real andavam mais
CAPÍTULO I,"Antes de entrar na antiga liteira do seu sogro, perguntou, com a mais refalsada seriedade, se não haveria risco em ir dentro daquela antiguidade.",24,24,0,0,5,1,4,5,15,62.5,NEGATIVE,0.6586039066314697,Pergunte ao seu sogro se não haveria risco de entrar na antiga liteira do seu sogro.
CAPÍTULO I,"Fernão Botelho assegurou a sua nora que a sua liteira não tinha ainda cem anos, e que os cavalos não excediam os trinta anos.",24,18,0,0,5,0,3,3,11,45.833333333333336,NEGATIVE,0.49670645594596863,O cavalo não tinha ainda cem anos.
CAPÍTULO I,"O modo altivo com que ela recebeu as cortesias da nobreza — a velha nobreza que para ali viera nos tempo de D Dinis, fundador da vila — fez com que o mais novo daquele grupo, que só tinha doze anos, me contasse a depois: Sabíamos que ela era dama de companhia de D Maria I porém, com soberba com que nos tratou julgar-se-ia que estávamos perante a própria rainha.",68,50,0,0,13,3,4,8,28,41.1764705882353,NEGATIVE,0.5319185853004456,"A velha nobreza que para ali viera nos tempo de D Dinis, fundador da vila — e que o mais novo daquele grupo, que só tinha doze anos, me contasse a ela:"
CAPÍTULO I,"Repicaram os sinos da terra, quando a comitiva passou pela igreja da Senhora de Almodena.",15,14,0,0,4,0,1,1,6,40.0,POSITIVE,0.48048466444015503,A comitiva seguiu para a igreja da Senhora de Almodena.
CAPÍTULO I,D Rita disse ao marido que a receção dos sinos era a mais estrondosa e barata que já tinha visto.,20,18,0,0,3,2,2,2,9,45.0,NEGATIVE,0.6586261987686157,D Rita disse ao marido que a receção dos sinos era a mais estrondosa
CAPÍTULO I,Pararam à porta da velha casa de Fernão Botelho.,9,9,0,0,2,1,0,1,4,44.44444444444444,POSITIVE,0.38885584473609924,Pararam na casa velha.
CAPÍTULO I,"A aia do paço passou os olhos pela fachada do edifício, e disse para si mesma: Que bonito chiqueiro para quem foi criada nos palácios de Mafra e Sintra, da Bemposta e de Queluz.",34,29,0,0,7,2,0,3,12,35.294117647058826,NEUTRAL,0.444282591342926,A aia do paço passou os olhos pelo chiqueiro e disse para si mesma:
CAPÍTULO I,"Decorridos alguns dias, D Rita disse ao marido que tinha medo de vir a ser devorada por ratazanas; que aquela casa era um covil de feras; que os tetos estavam prestes a desabar; que as paredes não resistiriam ao Inverno; que os preceitos da uniformidade conjugal obrigavam a morrer de frio uma esposa delicada e afeita às almofadas do palácio dos reis.",62,52,0,0,17,3,1,10,31,50.0,NEGATIVE,0.8272968530654907,A D Rita disse ao marido que tinha medo de ser devorada por ratazanas.
CAPÍTULO I,Domingos Botelho conformou-se com a estremecida companheira e mandou construir um palacete.,12,12,0,0,2,1,0,3,6,50.0,POSITIVE,0.44806453585624695,Monte um palacete.
CAPÍTULO I,"Escassamente lhe chegavam os recursos para os alicerces mas escreveu à rainha, e obteve um generoso subsídio com que acabou de construir a casa.",24,23,0,0,5,1,0,5,11,45.833333333333336,NEGATIVE,0.4547754228115082,"Escreva à rainha, e obteve um subsídio."
CAPÍTULO I,As varandas das janelas foram a última dádiva que a real viúva fez à sua dama de companhia.,18,17,0,0,6,2,0,1,9,50.0,POSITIVE,0.45070940256118774,"A sua viúva de companhia, em seu quarto, usou a varanda das janelas."
CAPÍTULO I,"Quer-nos parecer que a dádiva é um testemunho, até agora inédito, da demência da Senhora D Maria I Domingos Botelho mandara esculpir em Lisboa a pedra de armas; D Rita, porém, teimara que no escudo se esquartejassem também as suas; mas era tarde, porque já a obra tinha vindo do escultor, e o magistrado não podia com a segunda despesa, nem queria desgostar o seu pai, orgulhoso do seu brasão.",70,61,0,0,12,3,5,8,28,40.0,NEGATIVE,0.7466214895248413,"Entenda que a dádiva é um testemunho, até agora inédito, da demência da Senhora D Maria I Domingos Botelho mandara esculpir em Lisboa a pedra de armas."
CAPÍTULO I,Resultou daqui ficar a casa sem armas e D Rita vitoriosa.,11,11,0,0,2,1,1,2,6,54.54545454545455,NEUTRAL,0.40460753440856934,Deixe a casa sem armas e D Rita vitoriosa
CAPÍTULO I,O juiz de fora tinha ali parentes ilustres.,8,8,0,0,2,1,2,1,6,75.0,POSITIVE,0.41564586758613586,O juiz de fora tinha ali parentes
CAPÍTULO I,"O aprumo da fidalga dobrou-se até aos grandes da província, ou antes houve por bem levantá-los até ela.",18,16,0,0,4,0,2,3,9,50.0,NEGATIVE,0.6169946193695068,O aprumo da fidalga dobrou-se até aos grandes da
CAPÍTULO I,"D Rita tinha uma corte de primos, uns que se contentavam poe serem primos, outros que invejavam a sorte do marido.",21,19,0,0,5,0,0,3,8,38.095238095238095,NEGATIVE,0.6963109374046326,"A corte era de D Rita, uma corte de primos que se contentavam em posar"
CAPÍTULO I,"O mais audacioso não ousava olha-la para o rosto, quando o ela remirava com a luneta em jeito de tanta altivez e zombaria, que não será incorreto dizer que a luneta de Rita Preciosa era a mais vigilante sentinela da sua virtude.",42,34,0,0,8,3,5,4,20,47.61904761904762,NEGATIVE,0.677067756652832,"O mais audacioso era a luneta de Rita Preciosa, que era a mais vigilante sentinela da sua virtude."
CAPÍTULO I,Domingos Botelho desconfiava da eficácia dos merecimentos próprios para cabalmente encher o coração da sua mulher.,16,15,0,0,4,1,1,2,8,50.0,NEGATIVE,0.6389305591583252,A prova provava que os merecimentos próprios para cabalistas não
CAPÍTULO I,"Inquietava-o o ciúme; mas sufocava os suspiros, receando que Rita se desse por injuriada da suspeita.",16,16,0,0,4,0,0,4,8,50.0,NEGATIVE,0.5605316758155823,"A suspeita de ciúmes da Rita se tornou injuriada, mas"
CAPÍTULO I,E razão era que se ofendesse.,6,6,0,0,1,0,0,2,3,50.0,NEUTRAL,0.4645253121852875,"E por isso, ele"
CAPÍTULO I,"A neta do general frito no caldeirão sarraceno ria dos primos, que, por amor dela, se eriçavam e empoavam as cabeleiras com desgracioso esmero, e cavaleavam estrepitosamente na calçada os seus cavalos, fingindo que os picadores da província não desconheciam as graças hípicas do marquês de Marialva.",47,42,0,0,14,3,2,6,25,53.191489361702125,NEGATIVE,0.6474683284759521,"A neta do general frito no caldeirão sarraceno ria dos primos, que, por amor, se eriçavam e cavaleavam as cabeleiras."
CAPÍTULO I,"Não pensava assim, porém, o juiz de fora.",8,8,0,0,1,0,3,1,5,62.5,NEUTRAL,0.43478941917419434,Deixe o juiz de fora.
CAPÍTULO I,O intriguista que lhe trazia o espírito em ânsias era o espelho.,12,11,0,0,4,0,0,1,5,41.666666666666664,NEGATIVE,0.43293824791908264,O espelho era o espelho.
CAPÍTULO I,"Via-se sinceramente feio, e via a Rita cada vez mais bela, e mais enfadada nos tratos íntimos.",17,15,0,0,2,3,2,3,10,58.8235294117647,NEGATIVE,0.6630867123603821,"A Rita, com seu toque mais feio, está se tornando uma pessoa mais"
CAPÍTULO I,"Nenhum exemplo da história antiga, exemplo de amor sem quebra entre o esposo deforme e a esposa linda, lhe ocorria.",20,19,0,0,7,3,0,1,11,55.0,NEGATIVE,0.6390562057495117,Não se apresse.
CAPÍTULO I,"Um só lhe mortificava a memória, e esse, desde que fosse fábula, era-lhe avesso, e vinha a ser o casamento de Vénus e Vulcano.",24,21,0,0,3,1,1,2,7,29.166666666666668,NEGATIVE,0.7489845752716064,"O seu marido, o seu pai, era um dos deuses, e era-lhe avesso, e era-"
CAPÍTULO I,"Lembravam-lhe as redes que o ferreiro coxo fabricava para apanhar os deuses adúlteros, e assombrava-se da paciência daquele marido.",19,19,0,0,6,1,0,4,11,57.89473684210526,NEGATIVE,0.6631124019622803,"Lembre-se de que o marido do seu marido era um homem de confiança, e"
CAPÍTULO I,"Entre si, dizia ele que, erguido o véu da perfídia, nem se queixaria a Júpiter, nem armaria ratoeiras aos primos.",20,19,0,0,4,1,0,3,8,40.0,NEGATIVE,0.602143406867981,"O rei, em seu tempo, não se queixaria a Júpiter, nem armaria rato"
CAPÍTULO I,"A par do bacamarte de Luís Botelho, que passara em terra o alferes, estava uma fileira de armas em que o juiz de fora era entendido com muito superior inteligência à que revelava na compreensão do Digesto e das Ordenações do Reino.",42,34,0,0,9,1,2,3,15,35.714285714285715,NEGATIVE,0.6918186545372009,"A par do bacamarte de Luís Botelho, que passara em terra o alferes, estava uma fileira de armas em que o juiz de fora era entendido com muito superior inteligência à que"
CAPÍTULO I,"Este viver de sobressaltos durou seis anos, ou talvez mais.",10,10,0,0,2,0,2,2,6,60.0,NEGATIVE,0.39703452587127686,Este viver de sobressaltos dura
CAPÍTULO I,"O juiz de fora suplicou os seus amigos a transferência, e conseguiu mais do que ambicionava: foi nomeado provedor de Lamego.",21,20,0,0,4,0,2,4,10,47.61904761904762,POSITIVE,0.4292510151863098,O juiz de fora suplicou os seus amigos a transferência.
CAPÍTULO I,"Rita Preciosa deixou saudades em Vila Real, e duradoura memória da sua soberba, formosura e graças de espírito.",18,17,0,0,5,1,1,1,8,44.44444444444444,NEUTRAL,0.5018583536148071,Deixe saudades em Vila Real.
CAPÍTULO I,O marido também deixou anedotas que ainda hoje se repetem.,10,10,0,0,2,0,3,2,7,70.0,NEUTRAL,0.4571731388568878,O marido também deixou anedotas que
CAPÍTULO I,"Duas contarei somente para não enfadar: Acontecera um lavrador mandar-lhe de presente uma vitela, e com ela foi também a vaca, sua mãe, para que a vitela fosse lá ter sem luta.",32,29,0,0,8,0,4,3,15,46.875,NEUTRAL,0.39067986607551575,"Contando a história, e contando a história, para que a vitela fosse lá ter sem luta."
CAPÍTULO I,"Assim que viu as duas, Domingos Botelho mandou recolher a vitela e a vaca, dizendo que quem dava a filha dava a mãe e com essa o lavrador nunca mais viu a sua vaca.",34,25,0,0,6,0,3,7,16,47.05882352941177,NEGATIVE,0.6458176374435425,"Depois que viu as duas, Domingos Botelho mandou recolher a vitela e a vaca."
CAPÍTULO I,"Noutra ocasião, deu-se o caso de lhe mandarem de presente uns pastéis numa rica travessa de prata.",17,15,0,0,6,1,0,2,9,52.94117647058823,NEGATIVE,0.3965940773487091,"De presente, lhe de presente um pastéis de prata."
CAPÍTULO I,"O juiz de fora repartiu os pastéis por alguns rapazes de rua, e mandou guardar a travessa, tomando-a como o presente e os doce como ornamentos.",26,22,0,0,8,0,1,4,13,50.0,NEGATIVE,0.4519920349121094,O juiz de fora repartiu os pastéis e mandou guardar-os em um local escuro e seguro.
CAPÍTULO I,"É por isso que ainda hoje, em Vila Real, quando se dá um caso análogo de ficar alguém com o conteúdo e o continente, diz a gente da terra: Aquele é como o doutor Brocas.",35,33,0,0,6,1,3,4,14,40.0,NEUTRAL,0.4437437355518341,"Entenda que ainda hoje, em Vila Real, o continente é como um continente, e não o continente, que é como um continente, que é como um continente"
CAPÍTULO I,Não tenho assunto de tradição com que possa deter-me em miudezas da vida do provedor em Lamego.,17,16,0,0,5,0,1,3,9,52.94117647058823,NEGATIVE,0.5163922905921936,Não se despeça de miudezas da vida do provedor em Lamego
CAPÍTULO I,"Escassamente sei que D Rita aborrecia a comarca, e ameaçava o marido de voltar com os seus cinco filhos para Lisboa, se ele não saísse daquela intratável terra.",28,28,0,0,4,1,1,5,11,39.285714285714285,NEGATIVE,0.7558304071426392,"Não sei que D Rita aborrecia a comarca, e ameaçava o marido de voltar com os seus cinco filhos para Lisboa"
CAPÍTULO I,"Parece que a fidalguia de Lamego, em todo o tempo orgulhosa de uma antiguidade que principia na aclamação de Almacave, desdenhou a postura presunçosa da dama do paço, e foi descobrir certas histórias vergonhosas da família dos Botelhos Correias de Mesquita, como o facto do provedor ter vivido dois anos em Coimbra a tocar flauta.",55,45,0,0,13,3,0,6,22,40.0,NEGATIVE,0.6938155293464661,"A fidalguia de Lamego, em todo o tempo orgulhosa de uma antiguidade que principia na aclamação de Almacave, desdenhou a postura presunçosa da dama do paço, e foi descobrir histórias vergonhosas da família dos Botelho"
CAPÍTULO I,"Em 1801, achamos Domingos José Correia Botelho de Mesquita corregedor em Viseu.",12,12,0,0,0,0,0,1,1,8.333333333333334,POSITIVE,0.37949150800704956,"A partir de 1801, encontre Domingos José Correia Botelho de"
CAPÍTULO I,"Manuel, o mais velho dos seus filhos, tem vinte e dois anos, e frequenta o segundo ano jurídico.",18,16,0,0,3,3,1,2,9,50.0,POSITIVE,0.4236341118812561,"A idade é a mesma dos seus filhos, e a idade dos seus filhos também é"
CAPÍTULO I,"Simão, que tem quinze, estuda humanidades em Coimbra.",8,8,0,0,1,0,0,2,3,37.5,POSITIVE,0.4498242139816284,"A jovem Maria de Fátima, de"
CAPÍTULO I,As três meninas são o prazer e a vida toda do coração da sua mãe.,15,15,0,0,5,0,0,0,5,33.333333333333336,POSITIVE,0.41437509655952454,As três meninas são o amor da sua mãe.
CAPÍTULO I,"O filho mais velho escreveu ao pai queixando-se de não poder continuar a viver com o seu irmão, com medo do seu génio sanguinário.",24,22,0,0,5,2,2,5,14,58.333333333333336,NEGATIVE,0.6735002994537354,O filho mais velho escreveu ao pai queixando-se de não poder continuar a viver com o seu irmão.
CAPÍTULO I,"Conta que a cada passo que dá se vê ameaçado de vida, porque Simão gasta em pistolas o dinheiro que deviam ser para os livros, convive com os mais famosos perturbadores da academia, e corre de noite pelas ruas a insultar os habitantes, provocando-os à luta.",46,40,0,0,11,1,1,9,22,47.82608695652174,NEGATIVE,0.7236959338188171,"Conta que Simão, o homem mais famoso da academia, corre de noite pelas ruas."
CAPÍTULO I,"O corregedor admira a bravura do seu filho Simão, e diz à consternada mãe que o rapaz é a figura e o génio do seu bisavô Paulo Botelho Correia, o mais valente fidalgo que alguma vez houve em Trás-os-Montes.",39,32,0,0,10,2,1,3,16,41.02564102564103,NEGATIVE,0.5947842001914978,"O corregedor admira a bravura do seu filho Simão, e diz à consterna mãe que o rapaz é a figura e o génio do seu bisavô Paulo Botelho Correia, o"
CAPÍTULO I,"Manuel, cada vez mais envergonhado com os violentos actos de Simão, sai de Coimbra antes das férias e vai a Viseu pedir ao pai que lhe dê outro destino.",29,28,0,0,5,2,2,4,13,44.827586206896555,NEGATIVE,0.7175636887550354,Sai de Coimbra antes das férias.
CAPÍTULO I,D Rita quer que o seu filho seja cadete de cavalaria.,11,11,0,0,3,0,0,1,4,36.36363636363637,NEUTRAL,0.45823878049850464,A D Rita quer que o seu filho seja
CAPÍTULO I,"De Viseu parte então para Bragança Manuel Botelho, entrando para a nobre escola dos quatro costados para ser cadete.",19,17,0,0,2,2,1,2,7,36.8421052631579,NEGATIVE,0.5942078232765198,"De Viseu parte então para Bragança Manuel Botelho, entrando para a nobre escola dos quatro costados"
CAPÍTULO I,"No entanto, Simão volta a Viseu com os seus exames feitos e aprovados.",13,13,0,0,2,0,0,3,5,38.46153846153846,POSITIVE,0.4102746546268463,"Depois de passar por todos os exames, Simão volta a Viseu"
CAPÍTULO I,"O pai maravilha-se do talento do filho, e desculpa-o da extravagância por amor do talento.",15,12,0,0,6,0,0,2,8,53.333333333333336,NEUTRAL,0.4276457726955414,O pai maravilha-se com o talento do filho.
CAPÍTULO I,"Pede-lhe explicações pela zanga com Manuel, e ele responde apenas que o seu irmão o queria forçar a viver monasticamente.",20,19,0,0,3,0,1,4,8,40.0,NEGATIVE,0.5163394212722778,A resposta é que o seu irmão o queria forçar a viver monasticamente.
CAPÍTULO I,Os quinze anos de Simão têm aparência de vinte.,9,8,0,0,2,0,0,1,3,33.333333333333336,POSITIVE,0.4711728096008301,Esteja ciente de que o tamanho
CAPÍTULO I,É forte de compleição; belo homem com as feições da sua mãe; mas de todo avesso em génio.,18,17,0,0,6,2,0,0,8,44.44444444444444,POSITIVE,0.41730937361717224,"Este homem é um homem de temperamento forte, de temperamento forte, de temperamento forte,"
CAPÍTULO I,Na plebe de Viseu é que ele escolhe os amigos e companheiros.,12,12,0,0,3,0,0,2,5,41.666666666666664,POSITIVE,0.4104614853858948,Escolha os amigos e companheiros.
CAPÍTULO I,"Se D Rita lhe censura a indigna eleição que faz, Simão goza com as genealogias, principalmente com o general Caldeirão que morreu frito.",23,21,0,0,5,1,1,3,10,43.47826086956522,NEGATIVE,0.4797050654888153,"Se D Rita lhe censura, Simão goza com as genealogias que lhe fazem."
CAPÍTULO I,Bastou isso para ele ganhar o desgosto e a aversão da sua mãe.,13,13,0,0,3,0,0,2,5,38.46153846153846,NEUTRAL,0.4133622348308563,Comece com um pequeno esquenta-se de
CAPÍTULO I,"O corregedor via as coisas pelos olhos da sua mulher, e tomou parte no desgosto dela, e na aversão ao filho.",21,20,0,0,8,0,0,2,10,47.61904761904762,NEGATIVE,0.7345456480979919,"O corregedor de olhos, e tomou conta do filho dela."
