,CAPÍTULO I  FILIPA GUIMARÃES,SENTIMENTO GLOBAL,SENTIMENTO POSITIVO,TERMOS/EXPRESSÕES  POSITIVOS,SENTIMENTO NEGATIVO,TERMOS/EXPRESSÕES  NEGATIVOS
39,"Repicaram os sinos da terra, quando a comitiva passou pela igreja da Senhora de Almodena.",Neutro,0,0,0,0
40,D Rita disse ao marido que a receção dos sinos era a mais estrondosa e barata que já tinha visto.,Negativo,0,0,1,""" estrondosa e barata"""
41,Pararam à porta da velha casa de Fernão Botelho.,Neutro,0,0,0,0
42,"A aia do paço passou os olhos pela fachada do edifício, e disse para si mesma: Que bonito chiqueiro para quem foi criada nos palácios de Mafra e Sintra, da Bemposta e de Queluz.",Neutro,0,0,0,0
43,"Decorridos alguns dias, D Rita disse ao marido que tinha medo de vir a ser devorada por ratazanas; que aquela casa era um covil de feras; que os tetos estavam prestes a desabar; que as paredes não resistiriam ao Inverno; que os preceitos da uniformidade conjugal obrigavam a morrer de frio uma esposa delicada e afeita às almofadas do palácio dos reis.",Neutro,0,0,0,0
44,Domingos Botelho conformou-se com a estremecida companheira e mandou construir um palacete.,Negativo,0,0,1,"""estremecida"""
45,"Escassamente lhe chegavam os recursos para os alicerces mas escreveu à rainha, e obteve um generoso subsídio com que acabou de construir a casa.",Positivo,1,"""generoso""",0,0
46,As varandas das janelas foram a última dádiva que a real viúva fez à sua dama de companhia.,Neutro,0,0,0,0
47,"Quer-nos parecer que a dádiva é um testemunho, até agora inédito, da demência da Senhora D Maria I Domingos Botelho mandara esculpir em Lisboa a pedra de armas; D Rita, porém, teimara que no escudo se esquartejassem também as suas; mas era tarde, porque já a obra tinha vindo do escultor, e o magistrado não podia com a segunda despesa, nem queria desgostar o seu pai, orgulhoso do seu brasão.",Negativo,0,0,1,"""teimara""; ""orgulhoso"""
48,Resultou daqui ficar a casa sem armas e D Rita vitoriosa.,Positivo,1,"""vitoriosa""",0,0
49,O juiz de fora tinha ali parentes ilustres.,Neutro,0,0,0,0
50,"O aprumo da fidalga dobrou-se até aos grandes da província, ou antes houve por bem levantá-los até ela.",Neutro,0,0,0,0
51,"D Rita tinha uma corte de primos, uns que se contentavam poe serem primos, outros que invejavam a sorte do marido.",Negativo,0,0,1,"""invejavam"""
52,"O mais audacioso não ousava olha-la para o rosto, quando o ela remirava com a luneta em jeito de tanta altivez e zombaria, que não será incorreto dizer que a luneta de Rita Preciosa era a mais vigilante sentinela da sua virtude.",,0,0,0,0
53,Domingos Botelho desconfiava da eficácia dos merecimentos próprios para cabalmente encher o coração da sua mulher.,Neutro,0,0,0,0
54,"Inquietava-o o ciúme; mas sufocava os suspiros, receando que Rita se desse por injuriada da suspeita.",Negativo,0,0,1,"""ciume""; ""suspeita"""
55,E razão era que se ofendesse.,Negativo,0,0,1,"""ofendesse"""
56,"A neta do general frito no caldeirão sarraceno ria dos primos, que, por amor dela, se eriçavam e empoavam as cabeleiras com desgracioso esmero, e cavaleavam estrepitosamente na calçada os seus cavalos, fingindo que os picadores da província não desconheciam as graças hípicas do marquês de Marialva.",Negativo,0,0,1,"""desgracioso""; ""estrepitosamente"""
57,"Não pensava assim, porém, o juiz de fora.",Neutro,,0,0,0
58,O intriguista que lhe trazia o espírito em ânsias era o espelho.,Neutro,0,0,0,0
59,"Via-se sinceramente feio, e via a Rita cada vez mais bela, e mais enfadada nos tratos íntimos.",Negativo,0,0,1,"""feio""; ""enfadada"""
60,"Nenhum exemplo da história antiga, exemplo de amor sem quebra entre o esposo deforme e a esposa linda, lhe ocorria.",Neutro,0,0,0,0
61,"Um só lhe mortificava a memória, e esse, desde que fosse fábula, era-lhe avesso, e vinha a ser o casamento de Vénus e Vulcano.",Negativo,0,0,1,"""mortificava"""
62,"Lembravam-lhe as redes que o ferreiro coxo fabricava para apanhar os deuses adúlteros, e assombrava-se da paciência daquele marido.",Negativo,0,0,1,"""assombrava-se"""
63,"Entre si, dizia ele que, erguido o véu da perfídia, nem se queixaria a Júpiter, nem armaria ratoeiras aos primos.",Neutro,0,0,0,0
64,"A par do bacamarte de Luís Botelho, que passara em terra o alferes, estava uma fileira de armas em que o juiz de fora era entendido com muito superior inteligência à que revelava na compreensão do Digesto e das Ordenações do Reino.",Positivo,1,"""superior inteligência""",0,0
65,"Este viver de sobressaltos durou seis anos, ou talvez mais.",Neutro,0,0,0,0
66,"O juiz de fora suplicou os seus amigos a transferência, e conseguiu mais do que ambicionava: foi nomeado provedor de Lamego.",Positivo,1,"""nomeado""",0,0
67,"Rita Preciosa deixou saudades em Vila Real, e duradoura memória da sua soberba, formosura e graças de espírito.",Neutro,0,0,0,0
68,O marido também deixou anedotas que ainda hoje se repetem.,Neutro,0,0,0,0
69,"Duas contarei somente para não enfadar: Acontecera um lavrador mandar-lhe de presente uma vitela, e com ela foi também a vaca, sua mãe, para que a vitela fosse lá ter sem luta.",Neutro,0,0,0,0
70,"Assim que viu as duas, Domingos Botelho mandou recolher a vitela e a vaca, dizendo que quem dava a filha dava a mãe e com essa o lavrador nunca mais viu a sua vaca.",Neutro,0,0,0,0
71,"Noutra ocasião, deu-se o caso de lhe mandarem de presente uns pastéis numa rica travessa de prata.",Neutro,0,0,0,0
72,"O juiz de fora repartiu os pastéis por alguns rapazes de rua, e mandou guardar a travessa, tomando-a como o presente e os doce como ornamentos.",Neutro,0,0,0,0
73,"É por isso que ainda hoje, em Vila Real, quando se dá um caso análogo de ficar alguém com o conteúdo e o continente, diz a gente da terra: Aquele é como o doutor Brocas.",Neutro,0,0,0,0
74,Não tenho assunto de tradição com que possa deter-me em miudezas da vida do provedor em Lamego.,Neutro,0,0,0,0
75,"Escassamente sei que D Rita aborrecia a comarca, e ameaçava o marido de voltar com os seus cinco filhos para Lisboa, se ele não saísse daquela intratável terra.",Negativo,0,0,1,"""aborrecia""; ""ameaçava""; ""intratável"""
76,"Parece que a fidalguia de Lamego, em todo o tempo orgulhosa de uma antiguidade que principia na aclamação de Almacave, desdenhou a postura presunçosa da dama do paço, e foi descobrir certas histórias vergonhosas da família dos Botelhos Correias de Mesquita, como o facto do provedor ter vivido dois anos em Coimbra a tocar flauta.",Negativo,0,0,1,"""desdenhou a postura presunçosa"""
77,"Em 1801, achamos Domingos José Correia Botelho de Mesquita corregedor em Viseu.",Neutro,0,0,0,0
78,"Manuel, o mais velho dos seus filhos, tem vinte e dois anos, e frequenta o segundo ano jurídico.",Neutro,0,0,0,0
79,"Simão, que tem quinze, estuda humanidades em Coimbra.",Neutro,0,0,0,0
80,As três meninas são o prazer e a vida toda do coração da sua mãe.,Positivo,1,"""prazer""",0,0
81,"O filho mais velho escreveu ao pai queixando-se de não poder continuar a viver com o seu irmão, com medo do seu génio sanguinário.",Negativo,0,0,1,"""queixando-se"""
82,"Conta que a cada passo que dá se vê ameaçado de vida, porque Simão gasta em pistolas o dinheiro que deviam ser para os livros, convive com os mais famosos perturbadores da academia, e corre de noite pelas ruas a insultar os habitantes, provocando-os à luta.",Neutro,0,0,0,0
83,"O corregedor admira a bravura do seu filho Simão, e diz à consternada mãe que o rapaz é a figura e o génio do seu bisavô Paulo Botelho Correia, o mais valente fidalgo que alguma vez houve em Trás-os-Montes.",Positivo,1,"""admira""; ""valente""",0,0
84,"Manuel, cada vez mais envergonhado com os violentos actos de Simão, sai de Coimbra antes das férias e vai a Viseu pedir ao pai que lhe dê outro destino.",Negativo,0,0,1,"""envergonhado""; ""violentos"""
85,D Rita quer que o seu filho seja cadete de cavalaria.,Neutro,0,0,0,0
86,"De Viseu parte então para Bragança Manuel Botelho, entrando para a nobre escola dos quatro costados para ser cadete.",Neutro,0,0,0,0
87,"No entanto, Simão volta a Viseu com os seus exames feitos e aprovados.",Positivo,1,"""exames feitos e aprovados""",0,0
88,"O pai maravilha-se do talento do filho, e desculpa-o da extravagância por amor do talento.",Positivo,1,"""maravilha-se""",0,0
89,"Pede-lhe explicações pela zanga com Manuel, e ele responde apenas que o seu irmão o queria forçar a viver monasticamente.",Neutro,0,0,0,0
90,Os quinze anos de Simão têm aparência de vinte.,Neutro,0,0,0,0
91,É forte de compleição; belo homem com as feições da sua mãe; mas de todo avesso em génio.,Positivo,1,"""forte de compleição""",0,0
92,Na plebe de Viseu é que ele escolhe os amigos e companheiros.,Neutro,0,0,0,0
93,"Se D Rita lhe censura a indigna eleição que faz, Simão goza com as genealogias, principalmente com o general Caldeirão que morreu frito.",Negativo,0,0,1,"""indigna"""
94,Bastou isso para ele ganhar o desgosto e a aversão da sua mãe.,Negativo,0,0,1,"""desgosto e a aversão"""
95,"O corregedor via as coisas pelos olhos da sua mulher, e tomou parte no desgosto dela, e na aversão ao filho.",Negativo,0,0,1,"""desgosto""; ""aversão"""
96,"As irmãs temiam-no, menos Rita, a mais nova, com quem ele brincava puerilmente, e a quem obedecia, se ela lhe pedia, com meiguices de criança, que não andasse com más companhias.",Positivo,1,"""brincava""; ""meiguices""",0,0
97,"Estavam a terminar as férias, quando o corregedor teve um grande dissabor.",Negativo,0,0,1,"""dissabor"""
98,"Um dos seus criados tinha ido levar os cavalos a beber, e por descuido ou propósito, deixou quebrar algumas vasilhas que estavam no parapeito do chafariz.",Negativo,0,0,1,"""descuido ou propósito""; ""quebrar""; "
99,Os donos das vasilhas partidas conjuraram contra o criado e espancaram-no.,Neutro,0,0,0,0
100,"Simão, que passava por ali nessa altura, armado de um pau que descravou de um carro, partiu muitas cabeças, e rematou o trágico espetáculo quebrando o resto dos cântaros que restavam.",Negativo,0,0,1,"""trágico"""
101,"O povoléu intacto fugiu espavorido e ninguém se atreveu a enfrentar ao filho do corregedor; os feridos, porém, juntaram-se e foram clamar justiça à porta do magistrado.",Negativo,0,0,1,"""espavorido"""
102,Domingos Botelho zangou-se com o filho e ordenou ao meirinho-geral que o prendesse por sua ordem.,Neutro,0,0,0,0
103,"D Rita, não menos irritada, mas mais irritada como uma mãe que protege as crias, mandou, por portas travessas, dinheiro ao filho para que ele, sem se deter, fugisse para Coimbra, e esperasse lá o perdão do pai.",Neutro,0,0,0,0
104,"O corregedor, quando soube da ação da sua esposa, fingiu-se zangado, e prometeu manda-lo capturar em Coimbra.",Neutro,0,0,0,0
105,"Como, porém, D Rita lhe chamasse “brutal nas suas vinganças”, e “estúpido juiz de uma rapaziada”, o magistrado desenrugou a severidade postiça da testa, e confessou tacitamente que era um juiz bruto e estúpido.",Neutro,0,0,0,0
106,CAPÍTULO II MARIA DA CONCEIÇÃO,,,,,
107,Simão Botelho levou de Viseu para Coimbra arrogantes convicções da sua valentia.,Negativo,0,0,0,"""arrogantes"""
108,"Recordava-se dos valentes pormenores da derrota em que pusera trinta aguadeiros, o som cavo das pancadas, a queda atordoada deste, o levantar-se daquele, ensanguentado, a paulada que deu a três de uma vez, o esmurrar de dois, a gritaria de todos, e o partir dos cântaros no fim… Simão deliciava-se nestas lembranças, como ainda não se viu em nenhum drama, em que o veterano de cem batalhas relembra os louros de cada uma, e esmorece no fim, cansado de espantar, quando não estafa, os ouvintes.",Negativo,0,0,5,"""derrota"" ""pancada"" ""esmurrar"" ""ensanguentado"" ""paulada"""
109,"O académico, porém, com os seus entusiasmos, era incomparavelmente muito mais prejudicial e perigoso que qualquer “mata-mouros” das histórias.",Neutro,0,0,0,0
110,"As recordações incentivavam-no a façanhas novas, e naquele tempo a academia dava azo a elas.",Neutro,0,0,0,0
111,"A mocidade estudiosa, em grande parte, simpatizava com as balbuciantes teorias da liberdade, mais por sentimento, que por estudo.",Neutro,0,0,0,0
112,"Os apóstolos da Revolução Francesa não conseguiram fazer rebombar o trovão dos seus clamores neste canto da Europa; mas os livros dos enciclopedistas, as fontes onde a geração seguinte bebera a peçonha que saiu do sangue de noventa e três, não eram de todo ignorados.",,,,,
113,"As doutrinas da regeneração social pela guilhotina tinham alguns tímidos seguidores em Portugal, e esses é que deviam pertencer à geração nova.",,,,,
114,"Além de que o rancor à Inglaterra lavrava nas entranhas das classes manufatureiras, e o desprender-se do cordão humilhante, apertado, desde o princípio do século anterior, com os acordos de ruinosos e pérfidos tratados, estava no ânimo de muitos e bons portugueses que se queriam antes aliançados com a França.",,,,,
115,"Estes eram os pensadores reflexivos; os sectários da academia, porém, exprimiam mais a paixão da novidade que as doutrinas do raciocínio.",,,,,
116,"No ano anterior de 1800, saíra António de Araújo de Azevedo, depois conde da Barca, a negociar em Madrid e Paris a neutralidade de Portugal.",,,,,
117,"Rejeitaram- lhe as potências aliadas as propostas, de nada servindo os dezasseis milhões que o diplomata ofereceu ao primeiro-cônsul.",,,,,
118,Em menos de nada o território português foi infestado pelos exércitos de Espanha e França.,,,,,
119,"As nossas tropas, comandadas pelo duque de Lafões, não chegaram sequer a travar uma luta desigual, porque a esse tempo Luís Pinto de Sousa, mais tarde visconde de Balsemão, negociara uma vergonhosa paz em Badajoz, com cedência de Olivença à Espanha, a retirada de Ingleses dos nossos portos, e a indemnização de alguns milhões à França.",,,,,
120,"Estes acontecimentos tinham provocado contra Napoleão os ânimos daqueles que odiavam o aventureiro, e a outros deram causa a congratularem-se pelo rompimento com a Inglaterra.",,,,,
121,"Entre os deste grupo, na convulsiva e irrequieta academia, era voto de grande convicção Simão Botelho, apesar dos seus imberbes dezasseis anos.",,,,,
122,"Mirabeau, Danton, Robespierre, Desmoulins, e muitos outros sábios e mártires do grande porte, eram nomes que soavam a musica aos ouvidos de Simão.",,,,,
123,"Difamá-los na sua presença era afrontarem-no a ele, e era motivo para bofetadas ou pistolas engatilhadas à cara do difamador.",,,,,
124,"O filho do corregedor de Viseu defendia que Portugal devia regenerar-se num batismo de sangue, para que a hidra dos tiranos não erguesse mais uma das mil cabeças sob a clava do Hércules popular.",,,,,
125,"Estes discursos, retirados de alguns textos clandestinos de Saint-Just, afugentavam da sua companhia mesmos aqueles que o tinham aplaudido nos mais racionais princípios de liberdade.",,,,,
126,"Simão Botelho tornou-se odioso aos condiscípulos que, para se salvarem da infâmia, delataram-no ao bispo-conde, reitor da Universidade.",,,,,
127,"Um dia, proclamava o demagogo académico na praça Sansão aos poucos ouvintes que lhe permaneciam fiéis, uns por medo, outros por gosto.",,,,,
128,"O discurso ia no ponto mais fervoroso da ideia regicida, quando uma escolta de verdeais lhe apagou a escandecência.",,,,,
129,"Quis o orador resistir, agarrando as pistolas, mas caíram-lhe em cima os muitos braços musculosos da guarda do reitor.",,,,,
130,"O jacobino, desarmado e cercado pela escolta dos archeiros, foi levado ao cárcere académico, de onde saiu seis meses depois, pelas grandes instâncias dos amigos do seu pai e dos parentes de D Rita Preciosa.",,,,,
131,"Perdido o ano letivo, Simão foi para Viseu.",,,,,
132,O corregedor repeliu-o da sua presença com ameaças de o expulsar de casa.,,,,,
133,"A mãe, mais levada pelo dever que pelo coração, intercedeu pelo filho e conseguiu sentá-lo à mesa comum.",,,,,
134,No espaço de três meses notou-se uma maravilhosa mudança nos costumes de Simão.,,,,,
135,"Desprezou as companhias da ralé e raras vezes saía de casa, ou só, ou com a irmã mais nova, a sua predileta.",,,,,
136,"O campo, as árvores, os sítios mais sombrios e os ermos eram o seu recreio.",,,,,
137,Nas doces noites de verão demorava- se a passear até ao repontar da alvorada.,,,,,
138,Aqueles que assim o viam admiravam-lhe o ar pensador e o recolhimento que o sequestrava da vida vulgar.,,,,,
139,"Em casa encerrava-se no seu quarto, e saía quando o chamavam para a mesa.",,,,,
140,"D Rita pasmava da transformação, e o marido, bem convencido dela, ao fim de cinco meses, consentiu que o seu filho lhe dirigisse a palavra.",,,,,
141,Simão Botelho amava.,,,,,
142,"Aí está uma palavra única, explicando a aparente absurda reforma aos dezassete anos.",,,,,
143,"Amava Simão uma a sua vizinha, menina de quinze anos, rica herdeira, regularmente bonita e bem-nascida.",,,,,
144,"Da janela do seu quarto é que ele a vira a primeira vez, para amá-la sempre.",,,,,
145,"Não ficara ela incólume da ferida que fizera no coração do vizinho: amou-o também, e com mais seriedade que a usual nos seus anos.",,,,,
146,"Os poetas cansam-nos a paciência a falarem do amor da mulher aos quinze anos, como paixão perigosa, única e inflexível.",,,,,
147,Alguns prosadores de romances dizem o mesmo.,,,,,
148,Enganam-se ambos.,,,,,
149,"O amor aos quinze anos é uma brincadeira: é a última manifestação do amor às bonecas; é a tentativa da avezinha que ensaia o voo fora do ninho, sempre com os olhos fitos na ave- mãe, que está por perto a chamar por ela: tanto sabe a primeira o que é amar muito, como a segunda o que é voar para longe.",,,,,
150,"Teresa de Albuquerque devia ser, porventura, uma exceção no seu amor.",,,,,
151,"O magistrado e a sua família eram odiados pelo pai de Teresa, por motivos de litígios, em que Domingos Botelho lhes deu sentenças contra.",,,,,
152,"Para além disso isso, ainda no ano anterior dois criados de Tadeu de Albuquerque tinham sido feridos na celebrada pancadaria da fonte.",,,,,
153,"É, pois, evidente que o amor de Teresa, declinando de si o dever de humildemente sacrificar-se ao justo azedume do seu pai, era verdadeiro e forte.",,,,,
154,E este amor era singularmente discreto e cauteloso.,,,,,
155,"Viram-se e falaram-se durante três meses, sem fazer desconfiar a vizinhança, e nem sequer dar suspeitas às duas famílias.",,,,,
156,"O destino, que ambos se prometiam, era o mais honesto: ele ia formar-se para poder sustentá-la, se não tivessem outros recursos; ela esperava que o seu velho pai falecesse para, senhora de si, dar- lhe, com o coração, o seu grande património.",,,,,
157,"Espanta discrição tamanha na índole de Simão Botelho, e na presumível ignorância de Teresa em coisas materiais da vida, como são os patrimónios!",,,,,
158,"Na véspera da sua nova ida para Coimbra, estava Simão Botelho despedindo- se da suspirosa menina, quando ela foi subitamente arrancada da janela.",,,,,
159,"O alucinado rapaz ouviu gemidos daquela voz que, momentos antes, soluçava comovida por lágrimas de saudade.",,,,,
160,Ferveu-lhe o sangue na cabeça; contorceu- se no seu quarto como o tigre contra as grades inflexíveis da jaula.,,,,,
161,"Teve tentações de se matar, na impotência de socorrê-la.",,,,,
162,As restantes horas daquela noite passou-as em raivas e projetos de vingança.,,,,,
163,"Com o amanhecer esfriou- lhe o sangue, e renasceu a esperança com os cálculos.",,,,,
164,"Quando o chamaram para partir para Coimbra, ergueu-se da cama de tal modo desfigurado, que a sua mãe, olhando para o seu rosto amargurado, foi ao quarto interrogá-lo e dissuadi-lo de ir enquanto assim estivesse febril.",,,,,
165,"Simão, porém, entre mil projetos, achara melhor o plano de ir para Coimbra, esperar lá notícias de Teresa, e vir ás escondidas a Viseu falar com ela.",,,,,
166,"Ajuizadamente concluíra ele, que a sua demora agravaria a situação de Teresa.",,,,,
167,"Descera o académico ao pátio, depois de abraçar a mãe e as irmãs, e beijar a mão do pai, que para esta hora reservara uma admoestação severa, a ponto de lhe garantir que de todo o abandonaria se ele caísse em novas extravagâncias.",,,,,
168,"Enquanto metia o pé no estribo, viu ao seu lado uma velha mendiga, estendendo-lhe a mão aberta, como quem pede esmola, e na palma da mão, um pequeno papel.",,,,,
169,"O rapaz sobressaltou-se; e a poucos passos distante da sua casa, leu estas linhas: O meu pai diz que me vai encerrar num convento, por tua causa.",,,,,
170,Sofrerei tudo por amor a ti.,,,,,
171,"Não me esqueças, e achar-me-ás no convento, ou no Céu, sempre tua e sempre leal.",,,,,
172,Parte para Coimbra.,,,,,
173,Lá irão ter as minhas cartas e na primeira te direi em que nome hás de responder à tua pobre Teresa.,,,,,
174,A mudança do estudante maravilhou a academia.,,,,,
175,"Se o não viam nas aulas, em mais parte nenhuma o viam.",,,,,
176,"Das antigas relações restavam-lhe apenas as dos companheiros sensatos que o aconselhavam para bem, e o visitaram no cárcere de seis meses, dando-lhe alentos e recursos, que o seu pai não lhe dava, e a sua mãe escassamente fornecia.",,,,,
177,"Estudava com fervor, como quem já dali formava as bases do futuro de renome e da posição por ele merecida, o bastante para sustentar dignamente a esposa.",,,,,
178,"A ninguém confiava o seu segredo, senão às cartas que enviava a Teresa, longas cartas em que folgava o espírito da tarefa da ciência.",,,,,
179,"A apaixonada menina respondeu-lhe e disse-lhe que a ameaça do convento fora um mero susto de que já não tinha medo, porque o seu pai não podia viver sem ela.",,,,,
180,Isto afervorou-lhe para se mais dedicar ao estudo.,,,,,
181,"Simão, chamado em pontos difíceis das matérias do primeiro ano, tal conta deu de si, que os docentes e os condiscípulos elegeram-no como primeiro premiado.",,,,,
182,"A este tempo, Manuel Botelho, cadete em Bragança, destacado no Porto, licenciou-se para estudar na Universidade as matemáticas.",,,,,
183,Animou-o a notícia da reviravolta que se dera no seu irmão.,,,,,
184,Foi viver com ele; achou-o quieto; mas alheado numa ideia que o tornava misantropo e intratável noutro género.,,,,,
185,"Pouco tempo conviveram, sendo a causa da separação um desgraçado amor de Manuel Botelho para com uma açoriana casada com um académico.",,,,,
186,A esposa apaixonada perdeu-se nas ilusões do cego amante.,,,,,
187,"Deixou o marido e fugiu com ele para Lisboa, e daí para Espanha.",,,,,
