Nome,Texto
CAPÍTULO I,"Rita era uma formosura, que ainda aos cinquenta anos se podia prezar de o ser."
CAPÍTULO I,"E não tinha outro dote, pois não é dote uma série de antepassados, uns bispos, outros generais, e entre estes aquele que morrera queimado dentro de um caldeirão à mão dos mouros; glória, na verdade, um pouco ardente; mas de tal modo lembrada que os descendentes do general frito passaram a chamar-se “Caldeirões”."
CAPÍTULO I,A dama do paço foi feliz com o marido.
CAPÍTULO I,"Molestavam-na, no entanto, saudades da corte, das pompas das câmaras reais, e dos luxos e dos hábitos que imolou dos caprichos da rainha."
CAPÍTULO I,"Este desgostoso viver, porém, não impediu que se reproduzissem dois filhos e três meninas."
CAPÍTULO I,"O mais velho era Manuel, o segundo Simão; das meninas uma era Maria, a segunda Ana, e a última tinha o nome da sua mãe, e alguns traços da beleza dela."
CAPÍTULO I,"O juiz de fora de Cascais, solicitando lugar de mais graduado banco, morava em Lisboa, na freguesia da Ajuda, em 1784."
CAPÍTULO I,"Neste ano nasceu Simão, o penúltimo dos seus filhos."
CAPÍTULO I,"Conseguiu então ele, sempre gracejado pela sorte, transferência para Vila Real, a sua ambição suprema."
CAPÍTULO I,À distância de uma légua de Vila Real estava toda a nobreza da vila à espera do seu conterrâneo.
CAPÍTULO I,Cada família tinha a sua liteira com o brasão da respetiva casa.
CAPÍTULO I,"A dos Correias de Mesquita era a mais antiquada no feitio, e as vestes dos criados as mais usadas e desgastadas que figuravam na comitiva."
CAPÍTULO I,"D Rita, avistando a fila das liteiras, ajustou ao olho direito a sua grande luneta de ouro, e disse: — Ó Meneses, o que é aquilo? — São os nossos amigos e parentes que nos vêm esperar. — Em que século estamos nós nesta montanha? — disse a dama do paço. — Em que século?"
CAPÍTULO I,O século tanto é dezoito aqui como em Lisboa. — Ah! sim?
CAPÍTULO I,Julgo que o tempo aqui parou no século doze...
CAPÍTULO I,"Por alguma razão, o marido achou que devia rir-se do gracejo, apesar deste não lisonjear grandemente."
CAPÍTULO I,"Fernão Botelho, pai do juiz de fora, pôs-se à frente da procissão para dar a mão à nora, que saia da liteira, para a conduzir até casa."
CAPÍTULO I,"D Rita, antes de ver a cara do seu sogro, contemplou-lhe a olho armado as fivelas de aço, e a bolsa do rabicho."
CAPÍTULO I,Disse ela depois que os fidalgos de Vila Real andavam mais imundos que os carvoeiros de Lisboa.
CAPÍTULO I,"Antes de entrar na antiga liteira do seu sogro, perguntou, com a mais refalsada seriedade, se não haveria risco em ir dentro daquela antiguidade."
CAPÍTULO I,"Fernão Botelho assegurou a sua nora que a sua liteira não tinha ainda cem anos, e que os cavalos não excediam os trinta anos."
CAPÍTULO I,"O modo altivo com que ela recebeu as cortesias da nobreza — a velha nobreza que para ali viera nos tempo de D Dinis, fundador da vila — fez com que o mais novo daquele grupo, que só tinha doze anos, me contasse a depois: Sabíamos que ela era dama de companhia de D Maria I porém, com soberba com que nos tratou julgar-se-ia que estávamos perante a própria rainha."
CAPÍTULO I,"Repicaram os sinos da terra, quando a comitiva passou pela igreja da Senhora de Almodena."
CAPÍTULO I,D Rita disse ao marido que a receção dos sinos era a mais estrondosa e barata que já tinha visto.
CAPÍTULO I,Pararam à porta da velha casa de Fernão Botelho.
CAPÍTULO I,"A aia do paço passou os olhos pela fachada do edifício, e disse para si mesma: Que bonito chiqueiro para quem foi criada nos palácios de Mafra e Sintra, da Bemposta e de Queluz."
CAPÍTULO I,"Decorridos alguns dias, D Rita disse ao marido que tinha medo de vir a ser devorada por ratazanas; que aquela casa era um covil de feras; que os tetos estavam prestes a desabar; que as paredes não resistiriam ao Inverno; que os preceitos da uniformidade conjugal obrigavam a morrer de frio uma esposa delicada e afeita às almofadas do palácio dos reis."
CAPÍTULO I,Domingos Botelho conformou-se com a estremecida companheira e mandou construir um palacete.
CAPÍTULO I,"Escassamente lhe chegavam os recursos para os alicerces mas escreveu à rainha, e obteve um generoso subsídio com que acabou de construir a casa."
CAPÍTULO I,As varandas das janelas foram a última dádiva que a real viúva fez à sua dama de companhia.
CAPÍTULO I,"Quer-nos parecer que a dádiva é um testemunho, até agora inédito, da demência da Senhora D Maria I Domingos Botelho mandara esculpir em Lisboa a pedra de armas; D Rita, porém, teimara que no escudo se esquartejassem também as suas; mas era tarde, porque já a obra tinha vindo do escultor, e o magistrado não podia com a segunda despesa, nem queria desgostar o seu pai, orgulhoso do seu brasão."
CAPÍTULO I,Resultou daqui ficar a casa sem armas e D Rita vitoriosa.
CAPÍTULO I,O juiz de fora tinha ali parentes ilustres.
CAPÍTULO I,"O aprumo da fidalga dobrou-se até aos grandes da província, ou antes houve por bem levantá-los até ela."
CAPÍTULO I,"D Rita tinha uma corte de primos, uns que se contentavam poe serem primos, outros que invejavam a sorte do marido."
CAPÍTULO I,"O mais audacioso não ousava olha-la para o rosto, quando o ela remirava com a luneta em jeito de tanta altivez e zombaria, que não será incorreto dizer que a luneta de Rita Preciosa era a mais vigilante sentinela da sua virtude."
CAPÍTULO I,Domingos Botelho desconfiava da eficácia dos merecimentos próprios para cabalmente encher o coração da sua mulher.
CAPÍTULO I,"Inquietava-o o ciúme; mas sufocava os suspiros, receando que Rita se desse por injuriada da suspeita."
CAPÍTULO I,E razão era que se ofendesse.
CAPÍTULO I,"A neta do general frito no caldeirão sarraceno ria dos primos, que, por amor dela, se eriçavam e empoavam as cabeleiras com desgracioso esmero, e cavaleavam estrepitosamente na calçada os seus cavalos, fingindo que os picadores da província não desconheciam as graças hípicas do marquês de Marialva."
CAPÍTULO I,"Não pensava assim, porém, o juiz de fora."
CAPÍTULO I,O intriguista que lhe trazia o espírito em ânsias era o espelho.
CAPÍTULO I,"Via-se sinceramente feio, e via a Rita cada vez mais bela, e mais enfadada nos tratos íntimos."
CAPÍTULO I,"Nenhum exemplo da história antiga, exemplo de amor sem quebra entre o esposo deforme e a esposa linda, lhe ocorria."
CAPÍTULO I,"Um só lhe mortificava a memória, e esse, desde que fosse fábula, era-lhe avesso, e vinha a ser o casamento de Vénus e Vulcano."
CAPÍTULO I,"Lembravam-lhe as redes que o ferreiro coxo fabricava para apanhar os deuses adúlteros, e assombrava-se da paciência daquele marido."
CAPÍTULO I,"Entre si, dizia ele que, erguido o véu da perfídia, nem se queixaria a Júpiter, nem armaria ratoeiras aos primos."
CAPÍTULO I,"A par do bacamarte de Luís Botelho, que passara em terra o alferes, estava uma fileira de armas em que o juiz de fora era entendido com muito superior inteligência à que revelava na compreensão do Digesto e das Ordenações do Reino."
CAPÍTULO I,"Este viver de sobressaltos durou seis anos, ou talvez mais."
CAPÍTULO I,"O juiz de fora suplicou os seus amigos a transferência, e conseguiu mais do que ambicionava: foi nomeado provedor de Lamego."
CAPÍTULO I,"Rita Preciosa deixou saudades em Vila Real, e duradoura memória da sua soberba, formosura e graças de espírito."
CAPÍTULO I,O marido também deixou anedotas que ainda hoje se repetem.
CAPÍTULO I,"Duas contarei somente para não enfadar: Acontecera um lavrador mandar-lhe de presente uma vitela, e com ela foi também a vaca, sua mãe, para que a vitela fosse lá ter sem luta."
CAPÍTULO I,"Assim que viu as duas, Domingos Botelho mandou recolher a vitela e a vaca, dizendo que quem dava a filha dava a mãe e com essa o lavrador nunca mais viu a sua vaca."
CAPÍTULO I,"Noutra ocasião, deu-se o caso de lhe mandarem de presente uns pastéis numa rica travessa de prata."
CAPÍTULO I,"O juiz de fora repartiu os pastéis por alguns rapazes de rua, e mandou guardar a travessa, tomando-a como o presente e os doce como ornamentos."
CAPÍTULO I,"É por isso que ainda hoje, em Vila Real, quando se dá um caso análogo de ficar alguém com o conteúdo e o continente, diz a gente da terra: Aquele é como o doutor Brocas."
CAPÍTULO I,Não tenho assunto de tradição com que possa deter-me em miudezas da vida do provedor em Lamego.
CAPÍTULO I,"Escassamente sei que D Rita aborrecia a comarca, e ameaçava o marido de voltar com os seus cinco filhos para Lisboa, se ele não saísse daquela intratável terra."
CAPÍTULO I,"Parece que a fidalguia de Lamego, em todo o tempo orgulhosa de uma antiguidade que principia na aclamação de Almacave, desdenhou a postura presunçosa da dama do paço, e foi descobrir certas histórias vergonhosas da família dos Botelhos Correias de Mesquita, como o facto do provedor ter vivido dois anos em Coimbra a tocar flauta."
CAPÍTULO I,"Em 1801, achamos Domingos José Correia Botelho de Mesquita corregedor em Viseu."
CAPÍTULO I,"Manuel, o mais velho dos seus filhos, tem vinte e dois anos, e frequenta o segundo ano jurídico."
CAPÍTULO I,"Simão, que tem quinze, estuda humanidades em Coimbra."
CAPÍTULO I,As três meninas são o prazer e a vida toda do coração da sua mãe.
CAPÍTULO I,"O filho mais velho escreveu ao pai queixando-se de não poder continuar a viver com o seu irmão, com medo do seu génio sanguinário."
CAPÍTULO I,"Conta que a cada passo que dá se vê ameaçado de vida, porque Simão gasta em pistolas o dinheiro que deviam ser para os livros, convive com os mais famosos perturbadores da academia, e corre de noite pelas ruas a insultar os habitantes, provocando-os à luta."
CAPÍTULO I,"O corregedor admira a bravura do seu filho Simão, e diz à consternada mãe que o rapaz é a figura e o génio do seu bisavô Paulo Botelho Correia, o mais valente fidalgo que alguma vez houve em Trás-os-Montes."
CAPÍTULO I,"Manuel, cada vez mais envergonhado com os violentos actos de Simão, sai de Coimbra antes das férias e vai a Viseu pedir ao pai que lhe dê outro destino."
CAPÍTULO I,D Rita quer que o seu filho seja cadete de cavalaria.
CAPÍTULO I,"De Viseu parte então para Bragança Manuel Botelho, entrando para a nobre escola dos quatro costados para ser cadete."
CAPÍTULO I,"No entanto, Simão volta a Viseu com os seus exames feitos e aprovados."
CAPÍTULO I,"O pai maravilha-se do talento do filho, e desculpa-o da extravagância por amor do talento."
CAPÍTULO I,"Pede-lhe explicações pela zanga com Manuel, e ele responde apenas que o seu irmão o queria forçar a viver monasticamente."
CAPÍTULO I,Os quinze anos de Simão têm aparência de vinte.
CAPÍTULO I,É forte de compleição; belo homem com as feições da sua mãe; mas de todo avesso em génio.
CAPÍTULO I,Na plebe de Viseu é que ele escolhe os amigos e companheiros.
CAPÍTULO I,"Se D Rita lhe censura a indigna eleição que faz, Simão goza com as genealogias, principalmente com o general Caldeirão que morreu frito."
CAPÍTULO I,Bastou isso para ele ganhar o desgosto e a aversão da sua mãe.
CAPÍTULO I,"O corregedor via as coisas pelos olhos da sua mulher, e tomou parte no desgosto dela, e na aversão ao filho."
CAPÍTULO I,"As irmãs temiam-no, menos Rita, a mais nova, com quem ele brincava puerilmente, e a quem obedecia, se ela lhe pedia, com meiguices de criança, que não andasse com más companhias."
CAPÍTULO I,"Estavam a terminar as férias, quando o corregedor teve um grande dissabor."
CAPÍTULO I,"Um dos seus criados tinha ido levar os cavalos a beber, e por descuido ou propósito, deixou quebrar algumas vasilhas que estavam no parapeito do chafariz."
CAPÍTULO I,Os donos das vasilhas partidas conjuraram contra o criado e espancaram-no.
CAPÍTULO I,"Simão, que passava por ali nessa altura, armado de um pau que descravou de um carro, partiu muitas cabeças, e rematou o trágico espetáculo quebrando o resto dos cântaros que restavam."
CAPÍTULO I,"O povoléu intacto fugiu espavorido e ninguém se atreveu a enfrentar ao filho do corregedor; os feridos, porém, juntaram-se e foram clamar justiça à porta do magistrado."
CAPÍTULO I,Domingos Botelho zangou-se com o filho e ordenou ao meirinho-geral que o prendesse por sua ordem.
CAPÍTULO I,"D Rita, não menos irritada, mas mais irritada como uma mãe que protege as crias, mandou, por portas travessas, dinheiro ao filho para que ele, sem se deter, fugisse para Coimbra, e esperasse lá o perdão do pai."
CAPÍTULO I,"O corregedor, quando soube da ação da sua esposa, fingiu-se zangado, e prometeu manda-lo capturar em Coimbra."
CAPÍTULO I,"Como, porém, D Rita lhe chamasse “brutal nas suas vinganças”, e “estúpido juiz de uma rapaziada”, o magistrado desenrugou a severidade postiça da testa, e confessou tacitamente que era um juiz bruto e estúpido."
CAPÍTULO II,Simão Botelho levou de Viseu para Coimbra arrogantes convicções da sua valentia.
CAPÍTULO II,"Recordava-se dos valentes pormenores da derrota em que pusera trinta aguadeiros, o som cavo das pancadas, a queda atordoada deste, o levantar-se daquele, ensanguentado, a paulada que deu a três de uma vez, o esmurrar de dois, a gritaria de todos, e o partir dos cântaros no fim… Simão deliciava-se nestas lembranças, como ainda não se viu em nenhum drama, em que o veterano de cem batalhas relembra os louros de cada uma, e esmorece no fim, cansado de espantar, quando não estafa, os ouvintes."
CAPÍTULO II,"O académico, porém, com os seus entusiasmos, era incomparavelmente muito mais prejudicial e perigoso que qualquer “mata-mouros” das histórias."
CAPÍTULO II,"As recordações incentivavam-no a façanhas novas, e naquele tempo a academia dava azo a elas."
CAPÍTULO II,"A mocidade estudiosa, em grande parte, simpatizava com as balbuciantes teorias da liberdade, mais por sentimento, que por estudo."
CAPÍTULO II,"Os apóstolos da Revolução Francesa não conseguiram fazer rebombar o trovão dos seus clamores neste canto da Europa; mas os livros dos enciclopedistas, as fontes onde a geração seguinte bebera a peçonha que saiu do sangue de noventa e três, não eram de todo ignorados."
CAPÍTULO II,"As doutrinas da regeneração social pela guilhotina tinham alguns tímidos seguidores em Portugal, e esses é que deviam pertencer à geração nova."
CAPÍTULO II,"Além de que o rancor à Inglaterra lavrava nas entranhas das classes manufatureiras, e o desprender-se do cordão humilhante, apertado, desde o princípio do século anterior, com os acordos de ruinosos e pérfidos tratados, estava no ânimo de muitos e bons portugueses que se queriam antes aliançados com a França."
CAPÍTULO II,"Estes eram os pensadores reflexivos; os sectários da academia, porém, exprimiam mais a paixão da novidade que as doutrinas do raciocínio."
CAPÍTULO II,"No ano anterior de 1800, saíra António de Araújo de Azevedo, depois conde da Barca, a negociar em Madrid e Paris a neutralidade de Portugal."
CAPÍTULO II,"Rejeitaram- lhe as potências aliadas as propostas, de nada servindo os dezasseis milhões que o diplomata ofereceu ao primeiro-cônsul."
CAPÍTULO II,Em menos de nada o território português foi infestado pelos exércitos de Espanha e França.
CAPÍTULO II,"As nossas tropas, comandadas pelo duque de Lafões, não chegaram sequer a travar uma luta desigual, porque a esse tempo Luís Pinto de Sousa, mais tarde visconde de Balsemão, negociara uma vergonhosa paz em Badajoz, com cedência de Olivença à Espanha, a retirada de Ingleses dos nossos portos, e a indemnização de alguns milhões à França."
CAPÍTULO II,"Estes acontecimentos tinham provocado contra Napoleão os ânimos daqueles que odiavam o aventureiro, e a outros deram causa a congratularem-se pelo rompimento com a Inglaterra."
CAPÍTULO II,"Entre os deste grupo, na convulsiva e irrequieta academia, era voto de grande convicção Simão Botelho, apesar dos seus imberbes dezasseis anos."
CAPÍTULO II,"Mirabeau, Danton, Robespierre, Desmoulins, e muitos outros sábios e mártires do grande porte, eram nomes que soavam a musica aos ouvidos de Simão."
CAPÍTULO II,"Difamá-los na sua presença era afrontarem-no a ele, e era motivo para bofetadas ou pistolas engatilhadas à cara do difamador."
CAPÍTULO II,"O filho do corregedor de Viseu defendia que Portugal devia regenerar-se num batismo de sangue, para que a hidra dos tiranos não erguesse mais uma das mil cabeças sob a clava do Hércules popular."
CAPÍTULO II,"Estes discursos, retirados de alguns textos clandestinos de Saint-Just, afugentavam da sua companhia mesmos aqueles que o tinham aplaudido nos mais racionais princípios de liberdade."
CAPÍTULO II,"Simão Botelho tornou-se odioso aos condiscípulos que, para se salvarem da infâmia, delataram-no ao bispo-conde, reitor da Universidade."
CAPÍTULO II,"Um dia, proclamava o demagogo académico na praça Sansão aos poucos ouvintes que lhe permaneciam fiéis, uns por medo, outros por gosto."
CAPÍTULO II,"O discurso ia no ponto mais fervoroso da ideia regicida, quando uma escolta de verdeais lhe apagou a escandecência."
CAPÍTULO II,"Quis o orador resistir, agarrando as pistolas, mas caíram-lhe em cima os muitos braços musculosos da guarda do reitor."
CAPÍTULO II,"O jacobino, desarmado e cercado pela escolta dos archeiros, foi levado ao cárcere académico, de onde saiu seis meses depois, pelas grandes instâncias dos amigos do seu pai e dos parentes de D Rita Preciosa."
CAPÍTULO II,"Perdido o ano letivo, Simão foi para Viseu."
CAPÍTULO II,O corregedor repeliu-o da sua presença com ameaças de o expulsar de casa.
CAPÍTULO II,"A mãe, mais levada pelo dever que pelo coração, intercedeu pelo filho e conseguiu sentá-lo à mesa comum."
CAPÍTULO II,No espaço de três meses notou-se uma maravilhosa mudança nos costumes de Simão.
CAPÍTULO II,"Desprezou as companhias da ralé e raras vezes saía de casa, ou só, ou com a irmã mais nova, a sua predileta."
CAPÍTULO II,"O campo, as árvores, os sítios mais sombrios e os ermos eram o seu recreio."
CAPÍTULO II,Nas doces noites de verão demorava- se a passear até ao repontar da alvorada.
CAPÍTULO II,Aqueles que assim o viam admiravam-lhe o ar pensador e o recolhimento que o sequestrava da vida vulgar.
CAPÍTULO II,"Em casa encerrava-se no seu quarto, e saía quando o chamavam para a mesa."
CAPÍTULO II,"D Rita pasmava da transformação, e o marido, bem convencido dela, ao fim de cinco meses, consentiu que o seu filho lhe dirigisse a palavra."
CAPÍTULO II,Simão Botelho amava.
CAPÍTULO II,"Aí está uma palavra única, explicando a aparente absurda reforma aos dezassete anos."
CAPÍTULO II,"Amava Simão uma a sua vizinha, menina de quinze anos, rica herdeira, regularmente bonita e bem-nascida."
CAPÍTULO II,"Da janela do seu quarto é que ele a vira a primeira vez, para amá-la sempre."
CAPÍTULO II,"Não ficara ela incólume da ferida que fizera no coração do vizinho: amou-o também, e com mais seriedade que a usual nos seus anos."
CAPÍTULO II,"Os poetas cansam-nos a paciência a falarem do amor da mulher aos quinze anos, como paixão perigosa, única e inflexível."
CAPÍTULO II,Alguns prosadores de romances dizem o mesmo.
CAPÍTULO II,Enganam-se ambos.
CAPÍTULO II,"O amor aos quinze anos é uma brincadeira: é a última manifestação do amor às bonecas; é a tentativa da avezinha que ensaia o voo fora do ninho, sempre com os olhos fitos na ave- mãe, que está por perto a chamar por ela: tanto sabe a primeira o que é amar muito, como a segunda o que é voar para longe."
CAPÍTULO II,"Teresa de Albuquerque devia ser, porventura, uma exceção no seu amor."
CAPÍTULO II,"O magistrado e a sua família eram odiados pelo pai de Teresa, por motivos de litígios, em que Domingos Botelho lhes deu sentenças contra."
CAPÍTULO II,"Para além disso isso, ainda no ano anterior dois criados de Tadeu de Albuquerque tinham sido feridos na celebrada pancadaria da fonte."
CAPÍTULO II,"É, pois, evidente que o amor de Teresa, declinando de si o dever de humildemente sacrificar-se ao justo azedume do seu pai, era verdadeiro e forte."
CAPÍTULO II,E este amor era singularmente discreto e cauteloso.
CAPÍTULO II,"Viram-se e falaram-se durante três meses, sem fazer desconfiar a vizinhança, e nem sequer dar suspeitas às duas famílias."
CAPÍTULO II,"O destino, que ambos se prometiam, era o mais honesto: ele ia formar-se para poder sustentá-la, se não tivessem outros recursos; ela esperava que o seu velho pai falecesse para, senhora de si, dar- lhe, com o coração, o seu grande património."
CAPÍTULO II,"Espanta discrição tamanha na índole de Simão Botelho, e na presumível ignorância de Teresa em coisas materiais da vida, como são os patrimónios!"
CAPÍTULO II,"Na véspera da sua nova ida para Coimbra, estava Simão Botelho despedindo- se da suspirosa menina, quando ela foi subitamente arrancada da janela."
CAPÍTULO II,"O alucinado rapaz ouviu gemidos daquela voz que, momentos antes, soluçava comovida por lágrimas de saudade."
CAPÍTULO II,Ferveu-lhe o sangue na cabeça; contorceu- se no seu quarto como o tigre contra as grades inflexíveis da jaula.
CAPÍTULO II,"Teve tentações de se matar, na impotência de socorrê-la."
CAPÍTULO II,As restantes horas daquela noite passou-as em raivas e projetos de vingança.
CAPÍTULO II,"Com o amanhecer esfriou- lhe o sangue, e renasceu a esperança com os cálculos."
CAPÍTULO II,"Quando o chamaram para partir para Coimbra, ergueu-se da cama de tal modo desfigurado, que a sua mãe, olhando para o seu rosto amargurado, foi ao quarto interrogá-lo e dissuadi-lo de ir enquanto assim estivesse febril."
CAPÍTULO II,"Simão, porém, entre mil projetos, achara melhor o plano de ir para Coimbra, esperar lá notícias de Teresa, e vir ás escondidas a Viseu falar com ela."
CAPÍTULO II,"Ajuizadamente concluíra ele, que a sua demora agravaria a situação de Teresa."
CAPÍTULO II,"Descera o académico ao pátio, depois de abraçar a mãe e as irmãs, e beijar a mão do pai, que para esta hora reservara uma admoestação severa, a ponto de lhe garantir que de todo o abandonaria se ele caísse em novas extravagâncias."
CAPÍTULO II,"Enquanto metia o pé no estribo, viu ao seu lado uma velha mendiga, estendendo-lhe a mão aberta, como quem pede esmola, e na palma da mão, um pequeno papel."
CAPÍTULO II,"O rapaz sobressaltou-se; e a poucos passos distante da sua casa, leu estas linhas: O meu pai diz que me vai encerrar num convento, por tua causa."
CAPÍTULO II,Sofrerei tudo por amor a ti.
CAPÍTULO II,"Não me esqueças, e achar-me-ás no convento, ou no Céu, sempre tua e sempre leal."
CAPÍTULO II,Parte para Coimbra.
CAPÍTULO II,Lá irão ter as minhas cartas e na primeira te direi em que nome hás de responder à tua pobre Teresa.
CAPÍTULO II,A mudança do estudante maravilhou a academia.
CAPÍTULO II,"Se o não viam nas aulas, em mais parte nenhuma o viam."
CAPÍTULO II,"Das antigas relações restavam-lhe apenas as dos companheiros sensatos que o aconselhavam para bem, e o visitaram no cárcere de seis meses, dando-lhe alentos e recursos, que o seu pai não lhe dava, e a sua mãe escassamente fornecia."
CAPÍTULO II,"Estudava com fervor, como quem já dali formava as bases do futuro de renome e da posição por ele merecida, o bastante para sustentar dignamente a esposa."
CAPÍTULO II,"A ninguém confiava o seu segredo, senão às cartas que enviava a Teresa, longas cartas em que folgava o espírito da tarefa da ciência."
CAPÍTULO II,"A apaixonada menina respondeu-lhe e disse-lhe que a ameaça do convento fora um mero susto de que já não tinha medo, porque o seu pai não podia viver sem ela."
CAPÍTULO II,Isto afervorou-lhe para se mais dedicar ao estudo.
CAPÍTULO II,"Simão, chamado em pontos difíceis das matérias do primeiro ano, tal conta deu de si, que os docentes e os condiscípulos elegeram-no como primeiro premiado."
CAPÍTULO II,"A este tempo, Manuel Botelho, cadete em Bragança, destacado no Porto, licenciou-se para estudar na Universidade as matemáticas."
CAPÍTULO II,Animou-o a notícia da reviravolta que se dera no seu irmão.
CAPÍTULO II,Foi viver com ele; achou-o quieto; mas alheado numa ideia que o tornava misantropo e intratável noutro género.
CAPÍTULO II,"Pouco tempo conviveram, sendo a causa da separação um desgraçado amor de Manuel Botelho para com uma açoriana casada com um académico."
CAPÍTULO II,A esposa apaixonada perdeu-se nas ilusões do cego amante.
CAPÍTULO II,"Deixou o marido e fugiu com ele para Lisboa, e daí para Espanha."
CAPÍTULO II,Numa outra parte desta narrativa darei conta do remate deste episódio.
CAPÍTULO II,"No mês de Fevereiro de 1803, recebeu Simão Botelho uma carta de Teresa."
CAPÍTULO II,"No seguinte capítulo diz-se minuciosamente a peripécia que forçara a filha de Tadeu de Albuquerque a escrever aquela carta de pungentíssima surpresa para o académico, convertido aos deveres, à honra, à sociedade e a Deus, pelo amor."
CAPÍTULO III,O pai de Teresa não aceitaria a impureza do sangue do corregedor para acordar os dois jovens em casamento.
CAPÍTULO III,"O magistrado persistia no rancor ao seu vizinho, e o vizinho malsinava de venalidade a reputação do magistrado."
CAPÍTULO III,"Este sabia da injuriosa vingança em que o outro lhe ia despicando; fingia-se invulnerável à detração; mas de dia para dia azedava-se-lhe a bílis; e é de crer que, se o não contivessem as considerações à família, sofreria menos, desabafando pela boca de um bacamarte, a arma preferida dos Botelhos Correias de Mesquita."
CAPÍTULO III,Seria impossível reconciliarem-se.
CAPÍTULO III,"Rita, a filha mais nova, estava um dia na janela do quarto de Simão, e viu a vizinha à janela com as mãos apoiadas na testa apoiada."
CAPÍTULO III,"Sabia Teresa que aquela menina era mais querida irmã de Simão, e a que mais se parecia com ele."
CAPÍTULO III,"Saiu da sua artificial indiferença, e respondeu ao cumprimento da Rita, fazendo-lhe com a mão um gesto e sorrindo."
CAPÍTULO III,"A filha do corregedor sorriu também, mas fugiu logo da janela, porque a sua mãe tinha proibido as filhas de terem relações com pessoas daquela casa."
CAPÍTULO III,"No dia seguinte, à mesma hora, levada pela simpatia que lhe causara aquele gesto de amizade, voltou Rita à janela, e lá viu Teresa com os olhos fitos nos seus, como se estivesse à sua espera."
CAPÍTULO III,"Sorriram-se com resguardo, afastando-se do peitoril das janelas; e assim ambas de pé, no interior dos quartos, estiveram a contemplar-se."
CAPÍTULO III,"Como a rua era estreita, podiam ouvir-se, falando baixo."
CAPÍTULO III,"Teresa, mais pelo movimento dos lábios que por palavras, perguntou a Rita se era a sua amiga."
CAPÍTULO III,"A menina respondeu com um gesto afirmativo, e fugiu, acenando-lhe um adeus."
CAPÍTULO III,"Estes rápidos instantes de se verem repetiram-se sucessivos dias, até que, perdido o maior medo de ambas, ousaram demorar- se em palestras a meia-voz."
