Title,Cited by,DOI,Link,Abstract,AuthorKeyword_1,AuthorKeyword_2,AuthorKeyword_3,AuthorKeyword_4,AuthorKeyword_5,AuthorKeyword_6,AuthorKeyword_7,AuthorKeyword_8,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7
"Traversing digital babel: Information, E-government, and exchange",17,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944902315&partnerID=40&md5=8652744bf72c3c9b947c55f6463da15b,"The computer systems of government agencies are notoriously complex. New technologies are piled on older technologies, creating layers that call to mind an archaeological dig. Obsolete programming languages and closed mainframe designs offer barriers to integration with other agency systems. Worldwide, these unwieldy systems waste billions of dollars, keep citizens from receiving services, and even -- as seen in interoperability failures on 9/11 and during Hurricane Katrina -- cost lives. In this book, Alon Peled offers a groundbreaking approach for enabling information sharing among public sector agencies: Using selective incentives to “nudge” agencies to exchange information assets. Peled proposes the establishment of a Public Sector Information Exchange (PSIE), through which agencies would trade information. After describing public sector information sharing failures and the advantages of incentivized sharing, Peled examines the U.S. Open Data program, and the gap between its rhetoric and results. He offers examples of creative public sector information sharing in the United States, Australia, Brazil, the Netherlands, and Iceland. Peled argues that information is a contested commodity, and draws lessons from the trade histories of other contested commodities -- including cadavers for anatomical dissection in nineteenth-century Britain. He explains how agencies can exchange information as a contested commodity through a PSIE program tailored to an individual country’s needs, and he describes the legal, economic, and technical foundations of such a program. Touching on issues from data ownership to freedom of information, Peled offers pragmatic advice to politicians, bureaucrats, technologists, and citizens for revitalizing critical information flows. © 2014 Massachusetts Institute of Technology. All rights reserved.",,,,,,,,,Peled A.,,,,,,
Getting there from here. Remembering the future of digital humanities: Roberto Busa award lecture 2013,17,10.1093/llc/fqu022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906856713&doi=10.1093%2fllc%2ffqu022&partnerID=40&md5=b9d1865aa807bd8bccc65197065a22a5,"In this slightly modified version of my 2013 Roberto Busa Prize lecture, I look from the first four decades of digital humanities through its present toward a possible future. I find a means to construct this future by paying close attention to the enemy we need in order to grow: the fear that closed down the horizons of imaginative exploration during the years of the Cold War and that re-presents itself now clothed in numerous techno-scientific challenges to the human. © The Author 2014. Published by Oxford University Press on behalf of EADH. All rights reserved.",,,,,,,,,McCarty W.,,,,,,
Keep Calm and Remain Human: How We Have Always Been Cyborgs and Theories on the Technological Present of Anthropology,4,10.1080/00938157.2014.872460,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897765166&doi=10.1080%2f00938157.2014.872460&partnerID=40&md5=584bddd9a0b4a8ceabca29cbde70d03f,"The cybernetic organism, or cyborg, is a recognized but often misunderstood concept in anthropology. However, the cyborg concept has the capacity to holistically cross-cut a wide swath of anthropological investigations and effectively problematize many anthropologically interesting characteristics of human subjects who, in all times and places, are dependent upon technology. The complex relationships between human beings and their technologies can be obscured with incompletely understood evolutionary forces, biased histories, mythologies, and ambiguous tensions (biological, cultural, economic, sexual, social, etc.). These can be illuminated by understanding the systems of tool use and feedback that cybernetically inform people and help guide their existence. © 2014 Copyright Taylor & Francis Group, LLC.",cyborg,holism,post-human,science,technology,,,,Wells J.J.,,,,,,
Melodrama remediated: The political economy of literary database paratexts,1,10.4018/978-1-4666-6002-1.ch010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946113604&doi=10.4018%2f978-1-4666-6002-1.ch010&partnerID=40&md5=b636aed285fac97b9be7aa7a4c92d93f,"This chapter reconsiders some tenets of Genette's insightful framework for analyzing paratexts, by examining the transformation of paratexts on one kind of published play-a cheaper, nineteenth-century, English-language ""Acting Edition""-after remediation into digital form for new purposes: not for producing theatre, but for studying old drama. Invoking Aiken's Uncle Tom's Cabin and Dion Boucicault plays as examples of general patterns, the author first fill in gaps in the inventory of print paratexts, delineating a species of theatrical paratext different from the literary paratexts spotlighted by Genette, that, together with the publisher's commercial communications, referred away from the single author or drama and rendered the publication into a hybrid literary-practical commodity. Moving to the twenty-first century, the chapter touches briefly on the pre-digital academic publishing formats, print anthologies and facsimile microform, which involved paratextual and market practices variously inherited by digital successors. While acknowledging the diverse array of digitized playbooks, the chapter concentrates on the proprietary database Literature Online produced by the Chadwyck-Healey division of a conglomerate corporation ProQuest, couching the remediated play paratexts within shifts in global capitalism. These for-profit paratexts partly reveal their political economy basis in fusion with the ideologies of the academic market and the materiality of their medium, including a new species of partly visible protocols that the author calls actuating marks. Overall, the chapter uses old melodrama to open new views of the performances of paratexts across textual media and embedded in political economy. © 2014, IGI Global.",,,,,,,,,Wilson K.C.,,,,,,
Astrophysicists' conversational connections on Twitter,39,10.1371/journal.pone.0106086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940341230&doi=10.1371%2fjournal.pone.0106086&partnerID=40&md5=7e5b5fc6d0f5d2baf41fadb45ffde0a0,"Because Twitter and other social media are increasingly used for analyses based on altmetrics, this research sought to understand what contexts, affordance use, and social activities influence the tweeting behavior of astrophysicists. Thus, the presented study has been guided by three research questions that consider the influence of astrophysicists' activities (i.e., publishing and tweeting frequency) and of their tweet construction and affordance use (i.e. use of hashtags, language, and emotions) on the conversational connections they have on Twitter. We found that astrophysicists communicate with a variety of user types (e.g. colleagues, science communicators, other researchers, and educators) and that in the ego networks of the astrophysicists clear groups consisting of users with different professional roles can be distinguished. Interestingly, the analysis of noun phrases and hashtags showed that when the astrophysicists address the different groups of very different professional composition they use very similar terminology, but that they do not talk to each other (i.e. mentioning other user names in tweets). The results also showed that in those areas of the ego networks that tweeted more the sentiment of the tweets tended to be closer to neutral, connecting frequent tweeting with information sharing activities rather than conversations or expressing opinions. © 2014 Holmberg et al.",,,,,,,,,Holmberg K.,Bowman T.D.,Haustein S.,Peters I.,,,
Getting there from here: Remembering the future of digital humanities,1,10.1057/9781137337016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006446658&doi=10.1057%2f9781137337016&partnerID=40&md5=7b345bef5685b6507c68aa5334321786,[No abstract available],,,,,,,,,McCarty W.,,,,,,
Climate trauma: Foreseeing the future in dystopian film and fiction,43,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009674067&partnerID=40&md5=cc6caad1d002836c4f4ec61fbc45a9b2,"Each month brings new scientific findings that demonstrate the ways in which human activities, from resource extraction to carbon emissions, are doing unprecedented, perhaps irreparable damage to our world. As we hear these climate change reports and their predictions for the future of Earth, many of us feel a sickening sense of déjà vu, as though we have already seen the sad outcome to this story. Drawing from recent scholarship that analyzes climate change as a form of ""slow violence"" that humans are inflicting on the environment, Climate Trauma theorizes that such violence is accompanied by its own psychological condition, what its author terms ""Pretraumatic Stress Disorder."" Examining a variety of films that imagine a dystopian future, renowned media scholar E. Ann Kaplan considers how the increasing ubiquity of these works has exacerbated our sense of impending dread. But she also explores ways these films might help us productively engage with our anxieties, giving us a seemingly prophetic glimpse of the terrifying future selves we might still work to avoid becoming. Examining dystopian classics like Soylent Green alongside more recent examples like The Book of Eli, Climate Trauma also stretches the limits of the genre to include features such as Blindness, The Happening, Take Shelter, and a number of documentaries on climate change. These eclectic texts allow Kaplan to outline the typical blind-spots of the genre, which rarely depicts climate catastrophe from the vantage point of women or minorities. Lucidly synthesizing cutting-edge research in media studies, psychoanalytic theory, and environmental science, Climate Trauma provides us with the tools we need to extract something useful from our nightmares of a catastrophic future. © 2016 by E. Ann Kaplan.",,,,,,,,,Kaplan E.A.,,,,,,
Curating archaeological knowledge in the digital continuum: From practice to infrastructure,33,10.1515/opar-2015-0011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991536825&doi=10.1515%2fopar-2015-0011&partnerID=40&md5=167422f01f4da81f08463aa1340d3718,"As a ""grand challenge"" for digital archaeology, I propose the adoption of programmatic research to meet the challenges of archaeological curation in the digital continuum, contingent on curation-enabled global digital infrastructures, and on contested regimes of archaeological knowledge production and meaning making. My motivation stems from an interest in the sociotechnical practices of archaeology, viewed as purposeful activities centred on material traces of past human presence. This is exemplified in contemporary practices of interpretation ""at the trowel's edge"", in epistemological reflexivity and in pluralization of archaeological knowledge. Adopting a practice-centred approach, I examine how the archaeological record is constructed and curated through archaeological activity ""from the field to the screen"" in a variety of archaeological situations. I call attention to Çatalhöyük as a salient case study illustrating the ubiquity of digital curation practices in experimental, well-resourced and purposefully theorized archaeological fieldwork, and I propose a conceptualization of digital curation as a pervasive, epistemic-pragmatic activity extending across the lifecycle of archaeological work. To address these challenges, I introduce a medium-term research agenda that speaks both to epistemic questions of theory in archaeology and information science, and to pragmatic concerns of digital curation, its methods, and application in archaeology. The agenda I propose calls for multidisciplinary, multi-team, multiyear research of a programmatic nature, aiming to re-examine archaeological ontology, to conduct focused research on pervasive archaeological research practices and methods, and to design and develop curation functionalities coupled with existing pervasive digital infrastructures used by archaeologists. It has a potential value in helping to establish an epistemologically coherent framework for the interdisciplinary field of archaeological curation, in aligning archaeological ontologies work with practice-based, agencyoriented and participatory theorizations of material culture, and in matching the specification and design of archaeological digital infrastructures with the increasingly globalized, ubiquitous and pervasive digital information environment and the multiple contexts of contemporary meaning-making in archaeology. © 2015 Costis Dallas licensee De Gruyter Open.",Archaeological curation,Digital continuum,Digital infrastructures,Ontologies,Social studies of practice,,,,Dallas C.,,,,,,
The queer film festival as a gender-diverse Space: Positioning the ‘L’ in GLBTIQ screen content,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947738218&partnerID=40&md5=87c4c6346d27a30393584d89c9c2f45d,[No abstract available],,,,,,,,,Ford A.,,,,,,
Networked learning: An educational paradigm for the age of digital networks,55,10.1007/978-3-319-01934-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944224858&doi=10.1007%2f978-3-319-01934-5&partnerID=40&md5=3aeaa4de27cae4089bb412235a8ab431,"This book posits the idea that networked learning is the one new paradigm in learning theory that has resulted from the introduction of digital and networked technologies. It sets out, in a single volume, a critical review of the main ideas and then articulates the case for adopting a networked learning perspective in a variety of educational settings. This book fills a gap in the literature on networked learning. Although there are several edited volumes in the field there is no other monograph makes the academic case and provides the academic context for networked learning. This volume accomplishes three main goals. First, it assists researchers and practitioners in acquainting themselves with the field. Second, it provides resources for reference and guidance to those not well acquainted with the field. Finally and most powerfully, it also allows for the consolidation of a field that is truly multidisciplinary in a way that maintains coherence and consistency. © Springer International Publishing Switzerland 2015.",,,,,,,,,Jones C.,,,,,,
The Routledge handbook of magazine research: The future of the magazine form,4,10.4324/9781315722283,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941629626&doi=10.4324%2f9781315722283&partnerID=40&md5=2943263c24d923cae49f0ecd666685a3,"Scholarly engagement with the magazine form has, in the last two decades, produced a substantial amount of valuable research. Authored by leading academic authorities in the study of magazines, the chapters in The Routledge Handbook of Magazine Research not only create an architecture to organize and archive the developing field of magazine research, but also suggest new avenues of future investigation. Each of 33 chapters surveys the last 20 years of scholarship in its subject area, identifying the major research themes, theoretical developments and interpretive breakthroughs. Exploration of the digital challenges and opportunities which currently face the magazine world are woven throughout, offering readers a deeper understanding of the magazine form, as well as of the sociocultural realities it both mirrors and influences. The book includes six sections: Methodologies and structures presents theories and models for magazine research in an evolving, global context. Magazine publishing: the people and the work introduces the roles and practices of those involved in the editorial and business sides of magazine publishing. Magazines as textual communication surveys the field of contemporary magazines across a range of theoretical perspectives, subjects, genre and format questions. Magazines as visual communication explores cover design, photography, illustrations and interactivity. Pedagogical and curricular perspectives offers insights on undergraduate and graduate teaching topics in magazine research. The future of the magazine form speculates on the changing nature of magazine research via its environmental effects, audience, and transforming platforms. © 2015 Taylor & Francis. All rights reserved.",,,,,,,,,Abrahamson D.,Prior-Miller M.R.,,,,,
An assessment of readiness for supporting digital humanities in Hong Kong academic libraries: Evaluating the potential for program development and international collaborations,1,10.4018/978-1-4666-8444-7.ch008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957370983&doi=10.4018%2f978-1-4666-8444-7.ch008&partnerID=40&md5=455b25a640fbc5dcd44dbb49d13f4c93,"This book chapter will assess the state of digital humanities across Hong Kong academic libraries and evaluate the potential for international collaborations. A survey was administered to the eight member institutions of the University Grants Committee in Hong Kong to examine the level of engagement in digital humanities, support structure at their institutions, partnership opportunities, etc. Survey respondents indicated the importance of supporting digital humanities, but this importance has not been fully reflected on the institutional level. Hong Kong libraries have undertaken a range of activities to support digital humanities, and they embrace intra-institutional partnerships. Surveyed institutions also indicated that the potential for international collaborations, in particular, exists and is worth the efforts of further exploration. Their major challenges are building a strong faculty-librarian partnership, getting adequate financial and personnel resources, and enhancing staff experience and skills in this area. © 2015, IGI Global. All rights reserved.",,,,,,,,,Wong R.S.H.,Li H.,,,,,
Comparing Digital Archaeological Repositories: tDAR Versus Open Context,12,10.1080/01639269.2015.1096155,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948971846&doi=10.1080%2f01639269.2015.1096155&partnerID=40&md5=a6a5a6d700e15def24377caf69473f8a,"In the last decade, two online archaeology data repositories, Digital Antiquity's The Digital Archeological Record (tDAR) and the Alexandria Archive Institute's (AAI) Open Context, have emerged in the United States as key players in the development of technology and Web platforms for preservation and public online access to archaeological research data. The need for these services has intensified since 2011, in the wake of U.S. federal open access mandates and funding agency data management plan requirements for grant applications. Through a comparison of selected features of tDAR and Open Context, this article highlights similarities and key differences in their designs, data management policies, and practices, and provides guidance to subject specialist librarians and others who advise archaeological researchers about how these differences can impact the suitability of each repository for specific data characteristics. © 2015, Published with license by Taylor & Francis.",archaeology data,data repository comparison,online data repositories,Open Context,the Digital Archaeological Record (tDAR),,,,Sheehan B.,,,,,,
Healthcare and big data: Digital specters and phantom objects,35,10.1057/978-1-137-50221-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017071956&doi=10.1057%2f978-1-137-50221-6&partnerID=40&md5=c9fb183d1d3e48823e8014110f706de7,"This highly original book is an ethnographic noir of how Big Data profits from patient private health information. The book follows personal health data as it is collected from inside healthcare and beyond to create patient consumer profiles that are sold to marketers. Primarily told through a first”person noir narrative, Ebeling as a sociologist”hard”boiled”detective, investigates Big Data and the trade in private health information by examining the information networks that patient data traverses. The noir narrative reveals the processes that the data broker industry uses to create data commodities-data phantoms”“or the marketing profiles of patients that are bought by advertisers to directly market to consumers. Healthcare and Big Data considers the implications these “data phantoms” have for patient privacy as well as the very real harm that they can cause. © The Editor(s) (if applicable) and The Author(s) 2016.",,,,,,,,,Ebeling M.F.E.,,,,,,
Facing the challenge of data-intensive research: Research data services and data literacy in academic libraries,3,10.1108/S0732-067120160000035008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006298289&doi=10.1108%2fS0732-067120160000035008&partnerID=40&md5=08746b06870140e6c2da17babeb10509,"Purpose-This chapter describes challenges that academic libraries face in the era of data-intensive research. Methodology/approach-A review of current literature about the topic was performed. The main features of the data-intensive paradigm of research are outlined and new tasks to be performed by academic libraries are explored. Findings-To fulfil their mission in this environment, academic libraries have to be equipped with tools that can be epitomised as research data services and include research data-management and digital data curation. Issues of data quality, data citation and data literacy are also of prime importance for related academic library services that also need to employ new' librarians, that is professionals, armed with novel and adequate skills. Originality/value-The chapter outlines both background and practice, associated with data-related opportunities and responsibilities. © 2017 by Emerald Group Publishing Limited All rights of reproduction in any form reserved.",Data citation,Data curation,Data literacy,Data quality,Research data management,Research data services,,,Koltay T.,,,,,,
Crowdsourcing language change with smartphone applications,25,10.1371/journal.pone.0143060,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953741551&doi=10.1371%2fjournal.pone.0143060&partnerID=40&md5=5a77bf5b95c1e41394dcd97415411f6d,"Crowdsourcing linguistic phenomena with smartphone applications is relatively new. In linguistics, apps have predominantly been developed to create pronunciation dictionaries, to train acoustic models, and to archive endangered languages. This paper presents the first account of how apps can be used to collect data suitable for documenting language change: we created an app, Dialäkt Äpp (DÄ), which predicts users' dialects. For 16 linguistic variables, users select a dialectal variant from a drop-down menu. DÄ then geographically locates the user's dialect by suggesting a list of communes where dialect variants most similar to their choices are used. Underlying this prediction are 16 maps from the historical Linguistic Atlas of German-speaking Switzerland, which documents the linguistic situation around 1950. Where users disagree with the prediction, they can indicate what they consider to be their dialect's location. With this information, the 16 variables can be assessed for language change. Thanks to the playfulness of its functionality, DÄ has reached many users; our linguistic analyses are based on data from nearly 60,000 speakers. Results reveal a relative stability for phonetic variables, while lexical and morphological variables seem more prone to change. Crowdsourcing large amounts of dialect data with smartphone apps has the potential to complement existing data collection techniques and to provide evidence that traditional methods cannot, with normal resources, hope to gather. Nonetheless, it is important to emphasize a range of methodological caveats, including sparse knowledge of users' linguistic backgrounds (users only indicate age, sex) and users' self-declaration of their dialect. These are discussed and evaluated in detail here. Findings remain intriguing nevertheless: As a means of quality control, we report that traditional dialectological methods have revealed trends similar to those found by the app. This underlines the validity of the crowdsourcing method. We are presently extending DÄ architecture to other languages. © 2016 Leemann et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,,,,,,,,Leemann A.,Kolly M.-J.,Purves R.,Britain D.,Glaser E.,,
The queer film festival as a gender-diverse space: Positioning the 'L' in GLBTIQ screen content,,10.4324/9781315592237,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062035232&doi=10.4324%2f9781315592237&partnerID=40&md5=c3c6822566ced9d0e65dc711c1f7164f,[No abstract available],,,,,,,,,Ford A.,,,,,,
