Title,Cited by,DOI,Link,Abstract,AuthorKeyword_1,AuthorKeyword_2,AuthorKeyword_3,AuthorKeyword_4,AuthorKeyword_5,AuthorKeyword_6,AuthorKeyword_7,AuthorKeyword_8,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Scientometric Study of the Stylometric Research Field,0,10.3390/informatics9030060,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138709983&doi=10.3390%2finformatics9030060&partnerID=40&md5=e3d7517e639cec2eaed253c2ec111eb2,"Stylometry has gained great popularity in digital humanities and social sciences. Many works on stylometry have recently been reported. However, there is a research gap regarding review studies in this field from a bibliometric and evolutionary perspective. Therefore, in this paper, a bibliometric analysis of publications from the Scopus database in the stylometric research field was proposed. Then, research articles published between 1968 and 2021 were collected and analyzed using the Bibliometrix R package for bibliometric analysis via the Biblioshiny web interface. Empirical results were also presented in terms of the performance analysis and the science mapping analysis. From these results, it is concluded that there has been a strong growth in stylometry research in recent years, while the USA, Poland, and the UK are the most productive countries, and this is due to many strong research partnerships. It was also concluded that the research topics of most articles, based on author keywords, focused on two broad thematic categories: (1) the main tasks in stylometry and (2) methodological approaches (statistics and machine learning methods). © 2022 by the author.",bibliometric analysis,biblioshiny,Scopus,stylometry,,,,,Michailidis P.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Development of Ontology for Knowledge of Traditions Common Culture of Countries in the Greater Mekong Subregion,0,10.3390/informatics9030058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138688195&doi=10.3390%2finformatics9030058&partnerID=40&md5=beea0d801f4028d90d7724bf326670df,"The development of ontology is one important research area in the digital humanities. This study aims at creating a semantic search system for traditions common culture in the Greater Mekong Subregion (GMS) to solve problems in semantic gaps. This paper presents the second phase of the main research. It will present how to develop ontologies for the traditions and common culture in the GMS to gain a perspicuous understanding of the traditions and common culture of those countries in the region. A theoretical concept of seven steps for ontology development was applied by using an ontology editor called Hozo Ontology Editor. The main ontology found in this study included 15 main classes: common culture, history, belief, purpose, location, ritual, activity, literature, values, place, time, principle, person, equipment, and ethnic group. Traditions common culture is a subclass of common culture classes that were found to be related to all classes in ontology. This ontology will be useful for developing a semantic search system of the traditions common culture of the GMS in the next steps of the main study. © 2022 by the authors.",common culture,knowledge organization,ontology,traditions common culture,,,,,Hoaihongthong S.,Kwiecien K.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A resources ecosystem for digital and heritage-led holistic knowledge in rural regeneration,0,10.1016/j.culher.2022.09.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138532071&doi=10.1016%2fj.culher.2022.09.012&partnerID=40&md5=44aa4074d51f3f3291d806002f0934ae,"This paper presents a digital resources ecosystem prototype of integrated tools and resources to support heritage-led regeneration of rural regions, thanks to a deeper understanding of the complexity of cultural natural landscapes throughout their historical and current development. The ecosystem is conceived as a distributed software platform establishing data ecosystem and open standards for the management of information, aimed at providing different services and applications to address the needs of the various end-users identified. The platform has been conceived and realised in the framework of a Horizon 2020 research project, with a view to building a set of holistic knowledge about rural regions and their cultural and natural heritage and making it available for long-lasting heritage-led territorial processes of change. It is the product of a multidisciplinary collaboration amongst heritage, digital humanities and ICTs experts, and combines data and methodologies from a range of approaches to humanities together with the customisation of effective digital tools. It has been designed for deployment also in cloud systems compliant with the Infrastructure-as-a-Service paradigm. All data is Findable, Accessible, Interoperable, Reusable (FAIR data). It hosts and integrates different tools, making the data gathered with/for local stakeholders usable and making the same data re-usable within the tools’ functions, generating integrated heritage knowledge. It comprises data on 19 rural pilot territories, where the tools and their integration have been developed and tested, while 62 more are partially included as additional territories which participate in certain activities within the project. The main testers for this platform and its functions are the local stakeholders of these territories. The paper describes and analyses the platform and its impact, discussing the integration of tools as an innovative approach that goes beyond the use of individual tools in shaping a multidimensional vision. It also offers an analysis of the potential of an integrated digital ecosystem in evidence-based and place-based regeneration strategies. Some reflections for developments and cooperation during the pandemic are also presented. © 2022",Cultural heritage,Digital heritage platform,Digital humanities,Digital tools’ integration,FAIR data,Rural digital strategies,,,Tamborrino R.,Patti E.,Aliberti A.,Dinler M.,Orlando M.,de Luca C.,Tondelli S.,Barrientos F.,Martin J.,Cunha L.F.M.,Stam A.,Nales A.,Egusquiza A.,Amirzada Z.,Pavlova I.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michel Serres, ‘a legend for us to read our world,’ or just a geographer?",0,10.1111/gec3.12658,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136895303&doi=10.1111%2fgec3.12658&partnerID=40&md5=ae5f28a2e99941f8aec7eb3f6101c14c,"In pondering the purpose and relevance of the thought of the French philosopher, Michel Serres, this article surveys recent secondary literature about his works in geography, social science, literary and humanities subjects. Where they are thought to be helpful, the article includes some biographical details. It first discusses Serres's prescience as a philosopher of the ecological and climate crises and the Anthropocene. It then considers his democratization of knowledge and knowledge making by analysing aspects of his particular narrative style which was designed to both speak across academic disciplinary boundaries and communicate with wider demographics. Notable amongst the latter are the symbolic mythical, human and more-than-human stock characters that recurred in his thought, speech and writings. The article then gathers together the topographical features and locations which serve as metaphors in his works. Lastly, it considers Serres's legacy as a philosopher of the digital age. © 2022 The Authors. Geography Compass published by John Wiley & Sons Ltd.",anthropocene,communication,digital humanities,geohumanities,more-than-human,philosophy of geography,popularization,storytelling,Hayes E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How we color the world with words,0,10.22210/suvlin.2022.093.03,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136794361&doi=10.22210%2fsuvlin.2022.093.03&partnerID=40&md5=f5b4bb16f0c3cec264480b45890d3a0c,"This paper presents a computational approach to the automatic detection of language patterns, specifically those dealing with expressing colors in the Croatian language. It investigates different lexicalization patterns of color terms, mainly compounds and multiword units, in order to classify them and prepare them for usage in the design of an algorithm that will automatically recognize and annotate these expressions in Croatian text. The paper also presents a comparative analysis of different classes of color terms found in a corpus built from books intended for younger (CLC) and older (ALC) populations. Finally, the research data is presented through a dictionary of three types of color terms categorized as multiword expressions. © 2022, Hrvatsko Filolosko Drustvo. All rights reserved.",color terms,Croatian,digital humanities,lexicalization patterns,multiword expressions,natural language processing,NooJ,,Kocijan K.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imbalanced volunteer engagement in cultural heritage crowdsourcing: a task-related exploration based on causal inference,0,10.1016/j.ipm.2022.103027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134780556&doi=10.1016%2fj.ipm.2022.103027&partnerID=40&md5=828691353554b296a4a9e384f2773c20,"As the crowdsourcing approach is increasingly being used for digitizing cultural heritage artifacts, there is a rising need for volunteer engagement in such collaborative digital humanities projects. This study focuses on the less explored topic of imbalanced volunteer engagement (IVE); it refers to the fact that most volunteers tend to focus only on a small portion of tasks, making it challenging to sustain cultural heritage crowdsourcing (CHC) projects. Using a public dataset containing 145,168,535 items captured from the Australian Newspaper Digitisation Project, we utilized a machine learning-based causal inference approach to investigate the IVE problem by examining the causal relationships between task content characteristics and volunteer engagements. We used the directed acyclic graph (DAG) to represent the structure, such that a causal relationship consisting of 11 nodes and 16 edges was obtained. Specifically, four causes, including task category, word count, number of task lists, and whether the task was illustrated, directly affect IVE. We further discuss these findings from a theoretical perspective and suggest three propositions: a) nudge-like intervention of a task list, b) subjective (perceived) low task complexity, and c) attraction of task presentation, alleviating the IVE problem. This study contributes to the literature on volunteer engagement in the CHC context and sheds new light on the design and implementation of collaborative digital humanities projects. © 2022",Causal inference,Cultural heritage crowdsourcing,Digital humanities,Imbalanced volunteer engagement,Task content characteristics,,,,Zhang X.,Zhang W.,Zhao Y.C.,Zhu Q.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIDOC-CRM and Machine Learning: A Survey and Future Research,0,10.3390/heritage5030084,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133879018&doi=10.3390%2fheritage5030084&partnerID=40&md5=68f24c47e0f85d60154d8b03d7c5e4b1,"The CIDOC Conceptual Reference Model (CIDOC-CRM) is an ISO Standard ontology for the cultural domain that is used for enabling semantic interoperability between museums, libraries, archives and other cultural institutions. For leveraging CIDOC-CRM, several processes and tasks have to be carried out. It is therefore important to investigate to what extent we can automate these processes in order to facilitate interoperability. For this reason, in this paper, we describe the related tasks, and we survey recent works that apply machine learning (ML) techniques for reducing the costs related to CIDOC-CRM-based compliance and interoperability. In particular, we (a) analyze the main processes and tasks, (b) identify tasks where the recent advances of ML (including Deep Learning) would be beneficial, (c) identify cases where ML has been applied (and the results are successful/promising) and (d) suggest tasks that can benefit from applying ML. Finally, since the approaches that leverage both CIDOC-CRM data and ML are few in number, (e) we introduce our vision for the given topic, and (f) we provide a list of open CIDOC-CRM datasets that can be potentially used for ML tasks. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",CIDOC-CRM,cultural informatics,digital humanities,machine learning,semantic data management,,,,Tzitzikas Y.,Mountantonakis M.,Fafalios P.,Marketakis Y.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A deep learning based system for writer identification in handwritten Arabic historical manuscripts,0,10.1007/s11042-022-12673-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127712670&doi=10.1007%2fs11042-022-12673-x&partnerID=40&md5=e09eaf8b2f3d6fb1c3b809e60d7f47da,"Determining the writer or transcriber of historical Arabic manuscripts has always been a major challenge for researchers in the field of humanities. With the development of advanced techniques in pattern recognition and machine learning, these technologies have been applied to automate the extraction of paleographical features in order to solve this issue. This paper presents a baseline system for writer identification, tested on a Historical Arabic dataset of 11610 single and double folio images. These texts were extracted from a unique collection of 567 Historical Arabic Manuscripts available at the Balamand Digital Humanities Center. A survey has been conducted on the available Arabic datasets and previously proposed techniques and algorithms. The Balamand dataset presents an important challenge due to the geo-historical identity of manuscripts and their physical conditions. An advanced Deep Learning system was developed and tested on three different Latin and Arabic datasets: ICDAR19, ICFHR20 and KHATT, before testing it on the Balamand dataset. The system was compared with many other systems and it has yielded a state-of-the-art performance on the new challenging images with 95.2% mean Average Precision (mAP) and 98.1% accuracy. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Arabic manuscripts,Artificial intelligence,Document analysis,Historical documents,Writer identification,,,,Chammas M.,Makhoul A.,Demerjian J.,Dannaoui E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The role of born digital data in confronting a difficult and contested past through digital storytelling: the Waterford Memories Project,0,10.1007/s00146-021-01372-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125080515&doi=10.1007%2fs00146-021-01372-0&partnerID=40&md5=6f803511e5944dde3ae72ba7290a7ead,"Digital scholarship is ubiquitous, where even the most Luddite of scholars use some form of digital technology in their research. Differences in the level of technology use have become a question of degree not kind. Currently in the second wave of Digital Humanities, Presner (2010) argues that Digital Humanities 2.0 introduces entirely new-born digital paradigms, methodologies, and publication models not derived from print culture. This new wave is “deeply generative, creating the environments and tools for producing, curating, and interacting with knowledge that is ‘born digital’ and lives in various digital contexts” (Presner 2010, para. 13). Using the case study of a Digital Humanities project called “The Waterford Memories Project”, this paper will consider both the role of born digital survivor testimony in confronting a difficult and disputed past in Ireland and, more broadly, how we create and access knowledge in this contested space. The Waterford Memories Project is an oral history driven study in digital humanities, publicly documenting survivor narratives of the Magdalene Laundries and Industrial Schools in the South-East of Ireland. The last Magdalene Laundry in Ireland closed in 1996. These institutions formed part of a system of coercive confinement, which incorporated a wide range of historical institutions used to confine both children and adults whose “crimes” were to act against the strict and punitive moral codes of the period, poverty, or mental illness. This paper will examine the role of born digital data in public humanities (in the form of the audio-recorded survivor oral histories), and frames the Waterford Memories digital humanities project in the technoculture and minimal computing literature, emphasising the overall need for a human-centred approach to technology at all stages of the research. Cultural stories can become fossilised and continue to perpetuate the silencing of survivors; it is therefore essential to consider how the openly available digital testimony contributes to the framing of cultural discourse around our history of coercive confinement in Ireland. © 2022, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.",Archives,Digital humanities,Industrial schools,Magdalene laundries,Testimony,,,,O’Mahoney J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Digital critical archives, copyright, and feminist praxis",0,10.1007/s10502-021-09384-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124740653&doi=10.1007%2fs10502-021-09384-x&partnerID=40&md5=b65f057e4e405ae94184ca44b4de9a53,"With the continued proliferation of digitized materials, critical attention to the ideologies informing the creation of digital archives remains crucial. How are digital archives made and what are their goals? How do different participants in the process work together in collaborative teams towards shared ideals? This paper outlines the methodological and political considerations that underlie the creation of a critical digital archive of historical and born-digital materials relating to 20th-century publishing history, The Modernist Archives Publishing Project (MAPP). Here we outline the archival practices and critical ethos that have informed the collaborative creation of MAPP by an international team of scholars, archivists, cultural institutions, students, and copyright estate holders. We address issues of selection that arise in creating a critical digital archive; feminist critical metadata practices; and our approaches to workflow and copyright; and conclude with an example of an archival document type in which the issues of feminist critical curation and copyright collide. © 2022, The Author(s).",Collaboration,Copyright,Curation,Digital humanities,Feminism,Metadata,,,Wilson N.,Battershill C.,Clarkson H.,Hannah M.N.,Nokhrin I.,Willson Gordon E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
